Cheval_clean;Poids_groupe;Cheval;Valeur_poids;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
ACREGATE;554;ACREGATE;554;1;0;0;0.0;0.0;0.0
ACREGATE;614;ACREGATE;614;1;0;0;0.0;0.0;0.0
ACTAFOOL;560;ACT A FOOL;560;1;0;1;2.0;0.0;100.0
ACTINGLADY;580;ACTING LADY;580;1;1;1;1.0;100.0;100.0
ACTINGUP;570;ACTING UP;570;1;0;0;0.0;0.0;0.0
ACTION;580;ACTION;580;2;0;0;9.5;0.0;0.0
ACTIONDELIGHT;510;ACTION DELIGHT;510;1;0;1;3.0;0.0;100.0
ACTIONPOINT;530;ACTION POINT;530;1;0;0;14.0;0.0;0.0
ACTIONPOINT;534;ACTION POINT;534;1;0;1;2.0;0.0;100.0
ACTIONPOINT;570;ACTION POINT;570;1;0;0;9.0;0.0;0.0
ACTIONPOINT;574;ACTION POINT;574;2;0;0;9.5;0.0;0.0
ACTIONREACTION;560;ACTION REACTION;560;1;0;0;8.0;0.0;0.0
ACTIUS;560;ACTIUS;560;1;0;1;3.0;0.0;100.0
ACTO;554;ACTO;554;1;0;0;13.0;0.0;0.0
ACTO;564;ACTO;564;1;0;0;12.0;0.0;0.0
ACTO;574;ACTO;574;1;0;0;0.0;0.0;0.0
ACTO;580;ACTO;580;1;0;0;13.0;0.0;0.0
ACTO;590;ACTO;590;1;0;1;3.0;0.0;100.0
ACTO;594;ACTO;594;1;0;0;15.0;0.0;0.0
ACTOFKINDNESS;580;ACT OF KINDNESS;580;1;0;0;6.0;0.0;0.0
ACTRIZCITY;570;ACTRIZ CITY;570;2;0;0;7.0;0.0;0.0
ACURRUCAO;570;ACURRUCAO;570;1;0;0;0.0;0.0;0.0
ADAAYOFSCARLETT;580;ADAAY OF SCARLETT;580;1;0;1;2.0;0.0;100.0
ADAAYOFSCARLETT;584;ADAAY OF SCARLETT;584;1;0;1;2.0;0.0;100.0
ADACE;590;ADACE;590;1;0;0;6.0;0.0;0.0
ADAIYAD'OR;530;ADAIYA D'OR;530;1;0;0;9.0;0.0;0.0
ADAIYAD'OR;564;ADAIYA D'OR;564;1;0;0;8.0;0.0;0.0
ADALIDA;540;ADALIDA;540;1;0;0;4.0;0.0;0.0
ADALIE;554;ADALIE;554;1;0;0;4.0;0.0;0.0
ADAR;564;ADAR;564;1;0;0;10.0;0.0;0.0
ADAROSE;560;ADA ROSE;560;1;0;0;7.0;0.0;0.0
