Cheval_clean;Surface;Cheval;Valeur_surface;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
ADDAGIRLADDIE;GAZON;ADDAGIRL ADDIE;GAZON;2;0;0;6.5;0.0;0.0
ADDAOU;GAZON;ADDAOU;GAZON;1;0;0;10.0;0.0;0.0
ADDEBEL;GAZON;AD DEBEL;GAZON;1;0;1;2.0;0.0;100.0
ADDEDTOUCH;GAZON;ADDED TOUCH;GAZON;1;0;0;5.0;0.0;0.0
ADDICTEDTOLOVE;GAZON;ADDICTED TO LOVE;GAZON;1;0;1;2.0;0.0;100.0
ADELA;GAZON;ADELA;GAZON;4;0;1;7.0;0.0;25.0
ADELAIDE;GAZON;ADELAIDE;GAZON;1;0;1;2.0;0.0;100.0
ADELAIDEBAY;GAZON;ADELAIDE BAY;GAZON;2;0;0;9.5;0.0;0.0
ADELAIDERIVER;GAZON;ADELAIDE RIVER;GAZON;1;0;0;15.0;0.0;0.0
ADELSUN;GAZON;ADEL SUN;GAZON;1;0;0;4.0;0.0;0.0
ADESANYA;GAZON;ADESANYA;GAZON;2;0;0;3.0;0.0;0.0
ADICCION;GAZON;ADICCION;GAZON;10;1;3;5.8;10.0;30.0
ADICTA;GAZON;ADICTA;GAZON;1;0;1;2.0;0.0;100.0
ADIL;GAZON;ADIL;GAZON;1;0;1;2.0;0.0;100.0
ADINA;GAZON;ADINA;GAZON;1;0;0;5.0;0.0;0.0
ADIO;GAZON;ADIO;GAZON;1;0;0;4.0;0.0;0.0
ADIOS;GAZON;ADIOS;GAZON;3;0;0;10.0;0.0;0.0
ADIOSAMOR;GAZON;ADIOS AMOR;GAZON;2;1;1;4.5;50.0;50.0
ADIOSCOLE;GAZON;ADIOS COLE;GAZON;2;0;1;5.5;0.0;50.0
ADIOSSKY;GAZON;ADIOS SKY;GAZON;1;0;0;8.0;0.0;0.0
ADISHAKTI;GAZON;ADI SHAKTI;GAZON;3;1;2;4.0;33.3;66.7
