Cheval_clean;Jockey_clean;Cheval;Jockey;Courses;Victoires;Podiums;Taux_victoire;Taux_podium
KINGROBBE;MMARQUETTE;KING ROBBE;M.MARQUETTE;2;0;0;0.0;0.0
KINGSHIRE;LROUSSEL;KINGSHIRE;L.ROUSSEL;1;0;1;0.0;100.0
KINGSHIRE;MVELON;KINGSHIRE;M.VELON;1;0;0;0.0;0.0
KINGSHIRE;TBACHELOT;KINGSHIRE;T.BACHELOT;1;0;0;0.0;0.0
KINGSLANDYN;RGUTIERREZ;KINGS LANDYN;R GUTIERREZ;1;0;1;0.0;100.0
KINGSTRIDE;CDEMURO;KINGSTRIDE;C.DEMURO;1;0;0;0.0;0.0
KINGSTRIDE;TPICCONE;KINGSTRIDE;T.PICCONE;2;0;0;0.0;0.0
KINGSWEARCROWNS;RROJAS;KINGSWEARCROWNS;R ROJAS;1;0;0;0.0;0.0
KINGSWEARCROWNS;YTORRES;KINGSWEARCROWNS;Y TORRES;1;0;0;0.0;0.0
KINGTHISTLE;AMADAMET;KING THISTLE;A.MADAMET;1;0;0;0.0;0.0
KINGTHISTLE;CDEMURO;KING THISTLE;C.DEMURO;1;0;1;0.0;100.0
KINGTHISTLE;MFAVRIAUX;KING THISTLE;M.FAVRIAUX;2;0;1;0.0;50.0
KINGTREZY;JDECRE;KING TREZY;J.DECRE;1;0;1;0.0;100.0
KINGTREZY;MLERNER;KING TREZY;M.LERNER;1;0;0;0.0;0.0
KINGWOOD;CMERILLE;KING WOOD;C.MERILLE;3;0;0;0.0;0.0
KINGWOOD;KGAUDEFFROY;KING WOOD;K.GAUDEFFROY;1;0;0;0.0;0.0
KINGWOOD;TMORISSON;KING WOOD;T.MORISSON;1;0;0;0.0;0.0
KINGZOOM;FERRARISL;KING ZOOM;FERRARIS L.;1;0;0;0.0;0.0
KINKYBOOTS;ADRIANMAXIMILIANOGIANNETTI;KINKY BOOTS;ADRIAN MAXIMILIANO GIANNETTI;1;0;0;0.0;0.0
KINNIGOLIKID;LEFEBVREFABIEN;KINNIGOLI KID;LEFEBVRE FABIEN;1;1;1;100.0;100.0
KINSWOMAN;TOMMARQUAND;KINSWOMAN;TOM MARQUAND;1;0;0;0.0;0.0
KIPCHOGUA;LROUSSEL;KIPCHOGUA;L.ROUSSEL;1;0;0;0.0;0.0
KIPPKELLY;JOANNAMASON;KIPP KELLY;JOANNA MASON;2;0;2;0.0;100.0
KIPPKELLY;NONPARTANT;KIPP KELLY;NON PARTANT;1;0;0;0.0;0.0
KIRARA;GUILLERMOANTONIOPEREZASTUDILL;KIRARA;GUILLERMO ANTONIO PEREZ ASTUDILL;1;0;0;0.0;0.0
KIRBY;DALBERCA-GAVILAN;KIRBY;D.ALBERCA-GAVILAN;4;0;0;0.0;0.0
KIRBY;MGUYON;KIRBY;M.GUYON;1;0;0;0.0;0.0
KIRBY;PREMOUE;KIRBY;P.REMOUE;1;0;0;0.0;0.0
KIRBY;STOPIN;KIRBY;S.TOPIN;3;0;2;0.0;66.7
KIRIEAA;JPLATEAUX;KIRIE AA;J.PLATEAUX;1;1;1;100.0;100.0
KIRIEAA;NMLOPESDUARTE;KIRIE AA;N.M..LOPES DUARTE;3;0;0;0.0;0.0
KIRINO;ANANIASPEREDA;KIRINO;ANANIAS  PEREDA;2;0;2;0.0;100.0
KIRINO;EDUARDOANTONIOMONTALBAHERNAND;KIRINO;EDUARDO ANTONIO MONTALBA HERNAND;1;0;0;0.0;0.0
KIRINO;JOSEMANUELMOYASEPULVEDA;KIRINO;JOSE MANUEL MOYA SEPULVEDA;1;0;0;0.0;0.0
KIRINO;LUISALBERTOROJASSOLIS;KIRINO;LUIS ALBERTO ROJAS SOLIS;1;1;1;100.0;100.0
KIRKDALE;CALLUMRODRIGUEZ;KIRKDALE;CALLUM RODRIGUEZ;2;1;1;50.0;50.0
KIRKLANDSIOUX;DECLANMCDONOGH;KIRKLAND SIOUX;DECLAN MCDONOGH;1;1;1;100.0;100.0
KIROVSKY;CLECOEUVRE;KIROVSKY;C.LECOEUVRE;1;0;1;0.0;100.0
KIROVSKY;CSOUMILLON;KIROVSKY;C.SOUMILLON;2;0;1;0.0;50.0
KIROZ;ABARON;KIROZ;A.BARON;1;0;0;0.0;0.0
KIROZ;PCHEYER;KIROZ;P.CHEYER;1;0;0;0.0;0.0
KIROZ;YBARILLE;KIROZ;Y.BARILLE;1;0;0;0.0;0.0
KISHA;DAVIDLISKA;KISHA;DAVID LISKA;1;0;0;0.0;0.0
KISRAK;CLECOEUVRE;KISRAK;C.LECOEUVRE;1;0;0;0.0;0.0
KISRAK;FVALLESKAR;KISRAK;F.VALLE SKAR;2;0;0;0.0;0.0
KISRAK;MGRANDIN;KISRAK;M.GRANDIN;2;0;0;0.0;0.0
KISSAKO;APOUCHIN;KISSAKO;A.POUCHIN;3;1;1;33.3;33.3
KISSAKO;GMEURY;KISSAKO;G.MEURY;1;0;0;0.0;0.0
KISSAURASTAR;RDUBORD;KISSAURA STAR;R.DUBORD;3;0;0;0.0;0.0
KISSES;CPACAUT;KISSES;C.PACAUT;4;0;0;0.0;0.0
KISSINGCHUPETINA;BRIANRODRIGOENRIQUE;KISSING CHUPETINA;BRIAN RODRIGO ENRIQUE;1;0;0;0.0;0.0
KISSINGCHUPETINA;JUANPABLOSILVA;KISSING CHUPETINA;JUAN PABLO SILVA;1;0;0;0.0;0.0
KISSMEATSEA;HJOURNIAC;KISS ME AT SEA;H.JOURNIAC;1;0;0;0.0;0.0
KISSMEATSEA;JCLAUDIC;KISS ME AT SEA;J.CLAUDIC;2;0;0;0.0;0.0
KISSMECHOP;JMOISAN;KISS ME CHOP;J.MOISAN;1;0;0;0.0;0.0
KISSMELADY;FVALLESKAR;KISS ME LADY;F.VALLE SKAR;1;0;0;0.0;0.0
KISSMESOUND;ADANDAMELIA;KISS ME SOUND;ADAN DAMELIA;1;0;1;0.0;100.0
KISSMESOUND;NONCOMMUNIQUE;KISS ME SOUND;NON COMMUNIQUE;1;0;0;0.0;0.0
KISSMESOUND;VELAZQUEZCRISTIANERNESTO;KISS ME SOUND;VELAZQUEZ CRISTIAN ERNESTO;1;0;0;0.0;0.0
KISSQUEEN;AGIREL;KISS QUEEN;A.GIREL;1;0;0;0.0;0.0
KISSQUEEN;FVERON;KISS QUEEN;F.VERON;1;0;1;0.0;100.0
KISSQUEEN;MWALDHAUSER;KISS QUEEN;M.WALDHAUSER;1;0;0;0.0;0.0
KISSTHEQUEEN;FABIANANDRESMEDINA;KISS THE QUEEN;FABIAN ANDRES MEDINA;1;0;1;0.0;100.0
KISSTHEQUEEN;FELIPETAPIA;KISS THE QUEEN;FELIPE TAPIA;4;0;1;0.0;25.0
KISSTHEQUEEN;JOSEDANIELVILLAGRAN;KISS THE QUEEN;JOSE DANIEL VILLAGRAN;1;0;0;0.0;0.0
KISSTHEQUEEN;LESLYCAROLINAGONZALEZ;KISS THE QUEEN;LESLY CAROLINA GONZALEZ;2;0;0;0.0;0.0
KISSTHERING;DCENTENO;KISS THE RING;D CENTENO;1;0;1;0.0;100.0
KISSTHESKY;LBOISSEAU;KISS THE SKY;L.BOISSEAU;1;0;0;0.0;0.0
KITAAB;CAMHARDIE;KITAAB;CAM HARDIE;1;0;0;0.0;0.0
KITSUNE;GMEURY;KITSUNE;G.MEURY;1;0;0;0.0;0.0
KITSUNE;JGUILLOCHON;KITSUNE;J.GUILLOCHON;4;1;1;25.0;25.0
