Cheval_clean;Jockey_clean;Cheval;Jockey;Courses;Victoires;Podiums;Taux_victoire;Taux_podium
GENERALREDWOOD;CHUNGYL;GENERAL REDWOOD;CHUNG Y.L.;6;2;3;33.3;50.0
GENERALSMART;ATZENIA;GENERAL SMART;ATZENI A.;2;0;1;0.0;50.0
GENERALSMART;PURTONZ;GENERAL SMART;PURTON Z.;1;0;0;0.0;0.0
GENERATIONAL;FPRAT;GENERATIONAL;F PRAT;1;1;1;100.0;100.0
GENERIC;JAMESDOYLE;GENERIC;JAMES DOYLE;1;1;1;100.0;100.0
GENERIC;JASONWATSON;GENERIC;JASON WATSON;1;0;1;0.0;100.0
GENEROUSTIPPER;FALEHBUGHANAIM;GENEROUS TIPPER;FALEH BUGHANAIM;1;0;0;0.0;0.0
GENEROUSTIPPER;JAMESDOYLE;GENEROUS TIPPER;JAMES DOYLE;2;0;1;0.0;50.0
GENESIS;DAVIDPATRICIOSANCHEZSANMARTI;GENESIS;DAVID PATRICIO SANCHEZ SAN MARTI;1;0;0;0.0;0.0
GENESIS;HUGOALEJANDROOCHOAOLMOS;GENESIS;HUGO ALEJANDRO OCHOA OLMOS;1;0;0;0.0;0.0
GENESIS;LESLYCAROLINAGONZALEZ;GENESIS;LESLY CAROLINA GONZALEZ;1;0;0;0.0;0.0
GENESIS;NICOLASIGNACIOVENEGASOSSES;GENESIS;NICOLAS IGNACIO VENEGAS OSSES;3;0;1;0.0;33.3
GENESIS;RONALDFABIANOFOURNETARROYO;GENESIS;RONALD FABIANO FOURNET ARROYO;1;0;0;0.0;0.0
GENESIS;WESLEYJOYCE;GENESIS;WESLEY JOYCE;2;1;2;50.0;100.0
GENETAKAVIC;ROLANDOIVANFRIAS;GENE TAKAVIC;ROLANDO IVAN FRIAS;1;0;0;0.0;0.0
GENEVA;AGAVILAN;GENEVA;A.GAVILAN;2;0;1;0.0;50.0
GENEVA;BOWMANH;GENEVA;BOWMAN H.;2;1;2;50.0;100.0
GENEVA;POONMF;GENEVA;POON M.F.;1;0;0;0.0;0.0
GENIALDACLODIAAA;CCADEL;GENIAL DA CLODIA AA;C.CADEL;1;0;0;0.0;0.0
GENIALDACLODIAAA;HMOUESAN;GENIAL DA CLODIA AA;H.MOUESAN;1;0;0;0.0;0.0
GENIE;NICOLASSANTIBANEZ;GENIE;NICOLAS SANTIBANEZ;1;0;0;0.0;0.0
GENIOGENIO;JUANCARLOSNORIEGA;GENIO GENIO;JUAN CARLOS NORIEGA;1;0;0;0.0;0.0
GENIUS;BERNARDOESTEBANLEONESPINOZA;GENIUS;BERNARDO ESTEBAN LEON ESPINOZA;1;0;0;0.0;0.0
GENIUS;NICOLASSANTIBANEZ;GENIUS;NICOLAS SANTIBANEZ;1;0;0;0.0;0.0
GENIUS;RAFAELFRANCISCOCISTERNASAYALA;GENIUS;RAFAEL FRANCISCO CISTERNAS AYALA;1;0;0;0.0;0.0
GENIUS;VICTORMANUELMIRANDAGALLEGOS;GENIUS;VICTOR MANUEL MIRANDA GALLEGOS;1;0;0;0.0;0.0
GENIUSBABY;HEWITSONL;GENIUS BABY;HEWITSON L.;2;0;1;0.0;50.0
GENIUSBABY;TEETANK;GENIUS BABY;TEETAN K.;4;0;2;0.0;50.0
GENIUSMISTAKE;ALEXJARY;GENIUS MISTAKE;ALEX JARY;1;0;0;0.0;0.0
GENJI;FVERON;GENJI;F.VERON;1;0;0;0.0;0.0
GENJI;PBAZIRE;GENJI;P.BAZIRE;1;0;0;0.0;0.0
GENNADIUS;ALECVOIKHANSKY;GENNADIUS;ALEC VOIKHANSKY;1;0;0;0.0;0.0
GENNAH;LABZANIBOUCHAIB;GENNAH;LABZANI BOUCHAIB;1;0;0;0.0;0.0
GENNAH;RAYIAYOUB;GENNAH;RAYI AYOUB;1;0;0;0.0;0.0
GENOAH;SIOBHANRUTLEDGE;GENOAH;SIOBHAN RUTLEDGE;1;0;1;0.0;100.0
GENOVESA;JOSELUIZDASILVA;GENOVESA;JOSE LUIZ DA SILVA;1;0;1;0.0;100.0
GENOVESA;MARTINRAMONDAVILA;GENOVESA;MARTIN RAMON DAVILA;1;1;1;100.0;100.0
GENOVESA;NONPARTANT;GENOVESA;NON PARTANT;1;0;0;0.0;0.0
GENTA;PABLOIVANALEGRE;GENTA;PABLO IVAN ALEGRE;1;0;1;0.0;100.0
GENTELA;GONZALODAMIANBORDA;GENTELA;GONZALO DAMIAN BORDA;2;0;1;0.0;50.0
GENTILESCHI;KVANDERBEKE;GENTILESCHI;K.VANDERBEKE;1;0;0;0.0;0.0
GENTILESCHI;LBAILS;GENTILESCHI;L.BAILS;1;0;0;0.0;0.0
GENTILTEXANA;LUCASFRANCISCOGONZALEZ;GENTIL TEXANA;LUCAS FRANCISCO GONZALEZ;1;0;0;0.0;0.0
GENTILTEXANA;PABLODAMIANCARRIZO;GENTIL TEXANA;PABLO DAMIAN CARRIZO;2;0;0;0.0;0.0
GENTLEBEAR;MZSAHEBJAN;GENTLE BEAR;M.Z . SAHEBJAN;1;0;0;0.0;0.0
GENTLEFLUIDITY;MGERMAIN;GENTLE FLUIDITY;M.GERMAIN;1;0;1;0.0;100.0
GENTLEFLUIDITY;MGRANDIN;GENTLE FLUIDITY;M.GRANDIN;1;0;0;0.0;0.0
GENTLEFLUIDITY;VSEGUY;GENTLE FLUIDITY;V.SEGUY;1;0;0;0.0;0.0
GENTLEGEORGE;GAVINRYAN;GENTLE GEORGE;GAVIN RYAN;1;0;0;0.0;0.0
GENTLEMANBEAUTY;AGUTIERREZVAL;GENTLEMAN BEAUTY;A.GUTIERREZ VAL;1;0;1;0.0;100.0
GENTLEMANBEAUTY;HBESNIER;GENTLEMAN BEAUTY;H.BESNIER;2;0;0;0.0;0.0
GENTLEMANBEAUTY;HBOUTIN;GENTLEMAN BEAUTY;H.BOUTIN;1;0;0;0.0;0.0
GENTLEMANBEAUTY;HMOUESAN;GENTLEMAN BEAUTY;H.MOUESAN;1;0;0;0.0;0.0
GENTLEMANBEAUTY;MGRANDIN;GENTLEMAN BEAUTY;M.GRANDIN;1;0;0;0.0;0.0
GENTLEMANBEAUTY;RSOUSAFERREIRA;GENTLEMAN BEAUTY;R.SOUSA FERREIRA;1;0;0;0.0;0.0
GENTLEMANJIM;DSHEEHY;GENTLEMAN JIM;D SHEEHY;1;0;0;0.0;0.0
GENTLEMANLIKE;MBARZALONA;GENTLEMANLIKE;M.BARZALONA;3;1;3;33.3;100.0
GENTLEMENLEGACY;BADELA;GENTLEMEN LEGACY;BADEL A.;1;0;0;0.0;0.0
GENTLEMENLEGACY;BOWMANH;GENTLEMEN LEGACY;BOWMAN H.;3;2;3;66.7;100.0
GENUINECOMAND;NICOLASMOLINA;GENUINE COMAND;NICOLAS  MOLINA;1;0;0;0.0;0.0
GENUINECOMAND;VICENTEALEXANDERMARDONESGONZA;GENUINE COMAND;VICENTE ALEXANDER MARDONES GONZA;1;0;0;0.0;0.0
GENUINEGOMO;MHUSBANDS;GENUINE GOMO;M HUSBANDS;1;0;0;0.0;0.0
GENUINEGOMO;MJHUSBANDS;GENUINE GOMO;M J HUSBANDS;1;0;0;0.0;0.0
GENUINEWARRIOR;CALLUMRODRIGUEZ;GENUINE WARRIOR;CALLUM RODRIGUEZ;1;0;0;0.0;0.0
GEOPOLITIC;ABOURGEAIS;GEOPOLITIC;A.BOURGEAIS;2;0;0;0.0;0.0
GEOPOLITIC;CRAIMBAULT;GEOPOLITIC;C.RAIMBAULT;1;0;0;0.0;0.0
GEOPOLITIC;NONPARTANT;GEOPOLITIC;NON PARTANT;1;0;0;0.0;0.0
GEOPOLITICAL;AORANI;GEOPOLITICAL;A.ORANI;1;0;0;0.0;0.0
GEOPOLITICAL;APOUCHIN;GEOPOLITICAL;A.POUCHIN;3;1;2;33.3;66.7
GEORGEBRIGGS;IORTIZ,JR;GEORGE BRIGGS;I ORTIZ, JR.;1;0;1;0.0;100.0
GEORGEISFIRE;GFRADELIN;GEORGE IS FIRE;G. FRADELIN;1;0;0;0.0;0.0
GEORGEISFIRE;SSAADI;GEORGE IS FIRE;S.SAADI;1;0;0;0.0;0.0
GEORGEOUSBLUE;EDISONRODRIGOROSAS;GEORGEOUS BLUE;EDISON RODRIGO ROSAS;2;2;2;100.0;100.0
GEORGEOUSBLUE;JORGELUISPIRIZ;GEORGEOUS BLUE;JORGE LUIS PIRIZ;1;0;0;0.0;0.0
GEORGESVILLE;AGAVILAN;GEORGES VILLE;A.GAVILAN;1;0;0;0.0;0.0
GEORGESVILLE;CMERILLE;GEORGES VILLE;C.MERILLE;4;0;0;0.0;0.0
GEORGESVILLE;MROMARY;GEORGES VILLE;M.ROMARY;1;0;0;0.0;0.0
GEORGESVILLE;STOPIN;GEORGES VILLE;S.TOPIN;2;0;1;0.0;50.0
GEORGETTA'SWISH;ACRASTUS;GEORGETTA'S WISH;A.CRASTUS;1;0;0;0.0;0.0
GEORGIAMAGIC;IORTIZ,JR;GEORGIA MAGIC;I ORTIZ, JR.;1;0;0;0.0;0.0
GEORGIAMAGIC;RESERVISTE2-MTO;GEORGIA MAGIC;RESERVISTE 2 - MTO;1;0;0;0.0;0.0
GEORGIANSIGMA;AVDULLAB;GEORGIAN SIGMA;AVDULLA B.;1;0;0;0.0;0.0
GEORGIANSIGMA;POONMF;GEORGIAN SIGMA;POON M.F.;3;0;3;0.0;100.0
GEORLAFAL;AMRIMOHAMMED;GEORLA FAL;AMRI MOHAMMED;1;0;0;0.0;0.0
GEORLAFAL;MAROUANEAYMANE;GEORLA FAL;MAROUANE AYMANE;2;0;0;0.0;0.0
GERARDTERBORCH;AHAMELIN;GERARD TER BORCH;A.HAMELIN;4;1;2;25.0;50.0
GERASIMOVA;GUILLERMOANTONIOPEREZASTUDILL;GERASIMOVA;GUILLERMO ANTONIO PEREZ ASTUDILL;1;0;0;0.0;0.0
GERASIMOVA;JAIMEFABIANMEDINA;GERASIMOVA;JAIME FABIAN MEDINA;1;0;0;0.0;0.0
GERASIMOVA;JOAQUINALEJANDROHERRERAOLIVAR;GERASIMOVA;JOAQUIN ALEJANDRO HERRERA OLIVAR;1;0;0;0.0;0.0
GERASIMOVA;RODOLFOANTONIOFUENZALIDAGARCI;GERASIMOVA;RODOLFO ANTONIO FUENZALIDA GARCI;5;0;0;0.0;0.0
GERET;JOAQUINALEJANDROHERRERAOLIVAR;GERET;JOAQUIN ALEJANDRO HERRERA OLIVAR;1;0;0;0.0;0.0
GERMANICUS;ALEJANDROISAIASMAUREIRA;GERMANICUS;ALEJANDRO ISAIAS MAUREIRA;1;0;1;0.0;100.0
GERMANICUS;LESLYCAROLINAGONZALEZ;GERMANICUS;LESLY CAROLINA GONZALEZ;2;0;0;0.0;0.0
GERMANICUS;RAFAELFRANCISCOCISTERNASAYALA;GERMANICUS;RAFAEL FRANCISCO CISTERNAS AYALA;1;0;0;0.0;0.0
GERMANSTYLE;NONPARTANT;GERMAN STYLE;NON PARTANT;1;0;0;0.0;0.0
GERONIMOMAGIC;LAQDARRAMOLY;GERONIMO MAGIC;LAQDAR RAMOLY;1;0;0;0.0;0.0
GERONIMOMAGIC;NATIKARIORDAN;GERONIMO MAGIC;NATIKA RIORDAN;1;0;0;0.0;0.0
GERYON;GARYCARROLL;GERYON;GARY CARROLL;1;0;0;0.0;0.0
GESA;ESENTURTURGANAALYUULU;GESA;ESENTUR TURGANAALY UULU;1;0;1;0.0;100.0
GESAYED;CLIFFORDLEE;GESAYED;CLIFFORD LEE;1;0;1;0.0;100.0
GETANATTITUDE;PIERRE-LOUISJAMIN;GET AN ATTITUDE;PIERRE-LOUIS JAMIN;1;0;1;0.0;100.0
GETFRIENDLY;HEWITSONL;GET FRIENDLY;HEWITSON L.;1;0;0;0.0;0.0
GETFRIENDLY;PURTONZ;GET FRIENDLY;PURTON Z.;1;0;0;0.0;0.0
GETHERNUMBER;CATORRES;GET HER NUMBER;C A TORRES;1;0;0;0.0;0.0
GETHIN;JAMESDOYLE;GETHIN;JAMES DOYLE;1;0;0;0.0;0.0
GETHSEMANE;JLORTIZ;GETHSEMANE;J L ORTIZ;2;0;0;0.0;0.0
GETLOOKS;NONPARTANT;GET LOOKS;NON PARTANT;1;0;0;0.0;0.0
GETLOOKS;PABLORODRIGUEZ;GET LOOKS;PABLO RODRIGUEZ;2;1;1;50.0;50.0
GETOUTMICK;RESERVISTE2;GET OUT MICK;RESERVISTE 2;1;0;0;0.0;0.0
GETOUTTAHERE;OISINMURPHY;GET OUTTA HERE;OISIN MURPHY;1;0;0;0.0;0.0
GETREADYTOROCK;JOCASIO;GET READY TO ROCK;J OCASIO;1;0;0;0.0;0.0
GETREADYTORUMBLE;CALLUMRODRIGUEZ;GETREADYTORUMBLE;CALLUM RODRIGUEZ;2;0;0;0.0;0.0
GETSET;MBOURGEAIS;GET SET;M. BOURGEAIS;1;0;0;0.0;0.0
GETSET;MGUYON;GET SET;M.GUYON;1;0;1;0.0;100.0
GETSET;TBREBION;GET SET;T.BREBION;1;0;0;0.0;0.0
GETTHEWIN;DAHERRERA;GET THE WIN;D A HERRERA;1;0;1;0.0;100.0
GETTHEWIN;EGONZALEZ;GET THE WIN;E GONZALEZ;1;0;1;0.0;100.0
GETTINGCLOSER;ABESCHIZZA;GETTING CLOSER;A BESCHIZZA;1;0;0;0.0;0.0
GETTINGSERIOUS;JRVELAZQUEZ;GETTING SERIOUS;J R VELAZQUEZ;1;0;0;0.0;0.0
GEWURZTRAMINER;RESERVISTE1-MTO;GEWURZTRAMINER;RESERVISTE 1 - MTO;1;0;0;0.0;0.0
GEZAR;MAURICIOEVILLARUEL;GEZAR;MAURICIO E VILLARUEL;1;0;1;0.0;100.0
GEZORA;FPRAT;GEZORA;F PRAT;1;0;1;0.0;100.0
GHAISSANE;ELBRIOUILKAWTHAR;GHAISSANE;EL BRIOUIL KAWTHAR;1;0;1;0.0;100.0
GHAIYYA;CONNORBEASLEY;GHAIYYA;CONNOR BEASLEY;1;1;1;100.0;100.0
GHALILISIO;SASSALOUANI;GHALI LISIO;S. ASSALOUANI;1;0;0;0.0;0.0
GHARBAWIYA;BERRKYAHASSAN;GHARBAWIYA;BERRKYA HASSAN;1;1;1;100.0;100.0
GHARISSA;DANIELEDUARDOARIAS;GHARISSA;DANIEL EDUARDO ARIAS;2;1;1;50.0;50.0
GHAZALA;ALELAYMARTIN;GHAZALA;A.LE LAY MARTIN;1;0;0;0.0;0.0
GHAZALDEPALMA;RAYIAYOUB;GHAZAL DE PALMA;RAYI AYOUB;1;0;0;0.0;0.0
GHAZANDUSOLEIL;ANDREWSLATTERY;GHAZAN DU SOLEIL;ANDREW SLATTERY;1;0;0;0.0;0.0
GHAZI;MADIHINOUAMANE;GHAZI;MADIHI NOUAMANE;1;0;0;0.0;0.0
GHAZI;MADIHISAID;GHAZI;MADIHI SAID;3;0;1;0.0;33.3
GHENGISKHAN;LPLOMMEE;GHENGIS KHAN;L.PLOMMEE;1;0;0;0.0;0.0
GHISA;KIERANSHOEMARK;GHISA;KIERAN SHOEMARK;2;0;0;0.0;0.0
GHOOD;TBACHELOT;GHOOD;T.BACHELOT;1;0;0;0.0;0.0
GHORGAN;BADELA;GHORGAN;BADEL A.;1;0;0;0.0;0.0
GHORGAN;CHAUCL;GHORGAN;CHAU C.L.;1;0;0;0.0;0.0
GHORGAN;LEUNGKC;GHORGAN;LEUNG K.C.;1;0;0;0.0;0.0
GHORGAN;TEETANK;GHORGAN;TEETAN K.;1;0;0;0.0;0.0
GHOSTJOKE;ALEJANDROISAIASMAUREIRA;GHOST JOKE;ALEJANDRO ISAIAS MAUREIRA;2;0;1;0.0;50.0
GHOSTJOKE;GERALDANDRESRODRIGUEZSEPULVED;GHOST JOKE;GERALD ANDRES RODRIGUEZ SEPULVED;1;0;0;0.0;0.0
GHOSTJOKE;JAIMEFABIANMEDINA;GHOST JOKE;JAIME FABIAN MEDINA;1;1;1;100.0;100.0
GHOSTMODE;DYLANBROWNEMCMONAGLE;GHOST MODE;DYLAN BROWNE MCMONAGLE;1;0;0;0.0;0.0
GHOSTMODE;JAMESDOYLE;GHOST MODE;JAMES DOYLE;1;0;0;0.0;0.0
GHOSTRAIDER;NICOLASIGNACIOVENEGASOSSES;GHOST RAIDER;NICOLAS IGNACIO VENEGAS OSSES;1;0;0;0.0;0.0
GHOSTRIDER;EVERTONRODRIGUES;GHOST RIDER;EVERTON RODRIGUES;4;0;0;0.0;0.0
GHOSTTALES;JRLEPAROUX;GHOST TALES;J R LEPAROUX;1;0;0;0.0;0.0
GHOSTVH;SEBASTIANMARCELOFIORITO;GHOST VH;SEBASTIAN MARCELO FIORITO;3;1;1;33.3;33.3
GHOSTWARRIOR;JCLAUDIC;GHOST WARRIOR;J.CLAUDIC;1;1;1;100.0;100.0
GHOSTWARRIOR;JGUILLOCHON;GHOST WARRIOR;J.GUILLOCHON;1;0;0;0.0;0.0
GHOSTWRITER;DAVIDEGAN;GHOSTWRITER;DAVID EGAN;1;0;0;0.0;0.0
GIANBRUNO;BENJAMINRODRIGOTRONCOSO;GIANBRUNO;BENJAMIN RODRIGO TRONCOSO;2;0;1;0.0;50.0
GIANBRUNO;NELSONANDRESROJAS;GIANBRUNO;NELSON ANDRES ROJAS;1;0;0;0.0;0.0
GIANNI;ANGELIRENKVEGACHAMORRO;GIANNI;ANGEL IRENK VEGA CHAMORRO;2;0;2;0.0;100.0
GIANNI;GUSTAVOVERA;GIANNI;GUSTAVO VERA;2;1;1;50.0;50.0
GIANNI;JOHANNOLATE;GIANNI;JOHANN  OLATE;1;0;0;0.0;0.0
GIANNI;PIEROIGNACIOREYESPODESTA;GIANNI;PIERO IGNACIO REYES PODESTA;1;0;0;0.0;0.0
GIANT;EDWARDGREATREX;GIANT;EDWARD GREATREX;1;0;1;0.0;100.0
GIANTBALLON;HEWITSONL;GIANT BALLON;HEWITSON L.;1;0;0;0.0;0.0
GIANTBALLON;PURTONZ;GIANT BALLON;PURTON Z.;5;3;5;60.0;100.0
GIANTLEAP;ATZENIA;GIANT LEAP;ATZENI A.;2;0;0;0.0;0.0
GIANTLEAP;POONMF;GIANT LEAP;POON M.F.;4;0;2;0.0;50.0
GIANTLEAP;TEETANK;GIANT LEAP;TEETAN K.;1;0;0;0.0;0.0
GIANTLEAP;YUENHY;GIANT LEAP;YUEN H.Y.;1;0;0;0.0;0.0
GIANTSENSE;JRODRIGUEZ;GIANT SENSE;J RODRIGUEZ;1;0;0;0.0;0.0
GIANTSEQUOIA;RYANMOORE;GIANT SEQUOIA;RYAN MOORE;1;1;1;100.0;100.0
GIANTSPIRIT;MOHT;GIANT SPIRIT;MO H.T.;5;0;0;0.0;0.0
GIANTSTORMY;BRIANRODRIGOENRIQUE;GIANT STORMY;BRIAN RODRIGO ENRIQUE;2;0;0;0.0;0.0
GIANTTEDDY;DAHERRERA;GIANT TEDDY;D A HERRERA;1;1;1;100.0;100.0
GIAPONESE;ADRIANMAXIMILIANOGIANNETTI;GIAPONESE;ADRIAN MAXIMILIANO GIANNETTI;1;0;0;0.0;0.0
GIARATE;EVERTONRODRIGUES;GIA RATE;EVERTON RODRIGUES;1;0;0;0.0;0.0
GIAVELLOTTO;JAMESDOYLE;GIAVELLOTTO;JAMES DOYLE;1;0;1;0.0;100.0
GIAVELLOTTO;OISINMURPHY;GIAVELLOTTO;OISIN MURPHY;1;1;1;100.0;100.0
GIDDYUP;AVDULLAB;GIDDY UP;AVDULLA B.;1;0;0;0.0;0.0
GIDDYUP;BOWMANH;GIDDY UP;BOWMAN H.;1;0;0;0.0;0.0
GIDDYUP;GUYONM;GIDDY UP;GUYON M.;1;0;0;0.0;0.0
GIDDYUP;TEETANK;GIDDY UP;TEETAN K.;1;0;0;0.0;0.0
GIDDYUP;YEUNGML;GIDDY UP;YEUNG M.L.;1;0;0;0.0;0.0
GIDDYUPBABY;RROJAS;GIDDY UP BABY;R ROJAS;1;0;0;0.0;0.0
GIFTOFTHEHEART;AMYJOHAYES;GIFT OF THE HEART;AMY JO HAYES;1;0;0;0.0;0.0
GIGABIT;WANTONGEORGIIII;GIGABIT;W ANTONGEORGI III;1;0;0;0.0;0.0
GIGANTOGRAFIA;WILLIAMPEREYRA;GIGANTOGRAFIA;WILLIAM PEREYRA;1;1;1;100.0;100.0
GIGICAKE'S;JAGOMEZ;GIGI CAKE'S;J A GOMEZ;1;0;0;0.0;0.0
GIGICAKE'S;LPANICI;GIGI CAKE'S;L PANICI;1;0;0;0.0;0.0
GILDEDBANDIT;JALVARADO;GILDED BANDIT;J ALVARADO;1;0;0;0.0;0.0
GILDEDDRAGON;MVELON;GILDED DRAGON;M.VELON;4;1;1;25.0;25.0
GILDEDDRAGON;RMANGIONE;GILDED DRAGON;R.MANGIONE;1;0;0;0.0;0.0
GILDEDPRIZE;CKEANE;GILDED PRIZE;C.KEANE;3;2;2;66.7;66.7
GILDEDPRIZE;OISINMURPHY;GILDED PRIZE;OISIN MURPHY;1;0;1;0.0;100.0
GILDOR;ACRASTUS;GILDOR;A.CRASTUS;2;0;1;0.0;50.0
GILDOR;HBESNIER;GILDOR;H.BESNIER;1;0;0;0.0;0.0
GILDOR;RMANGIONE;GILDOR;R.MANGIONE;1;0;0;0.0;0.0
GILDOR;SSTLARYLEROY;GILDOR;S.ST LARY LEROY;1;0;0;0.0;0.0
GILES;HOLLYNOTTLE;GILES;HOLLY NOTTLE;1;1;1;100.0;100.0
GILESGLORY;LUKEMORRIS;GILES GLORY;LUKE MORRIS;1;0;0;0.0;0.0
GILET;EDWARDGREATREX;GILET;EDWARD GREATREX;1;0;1;0.0;100.0
GILLEANGIRL;SEANKIRRANE;GILLEANGIRL;SEAN KIRRANE;1;0;0;0.0;0.0
GILMOUR;LUCASFRANCISCOGONZALEZ;GILMOUR;LUCAS FRANCISCO GONZALEZ;1;0;0;0.0;0.0
GIMANZOR;AMADAMET;GIMANZOR;A.MADAMET;1;0;0;0.0;0.0
GIMANZOR;CBILLARDELLO;GIMANZOR;C.BILLARDELLO;1;0;0;0.0;0.0
GIMANZOR;GCONGIU;GIMANZOR;G.CONGIU;2;0;0;0.0;0.0
GIMANZOR;HBESNIER;GIMANZOR;H.BESNIER;2;0;0;0.0;0.0
GIMANZOR;LCARBONI;GIMANZOR;L.CARBONI;1;0;0;0.0;0.0
GIMANZOR;MGERMAIN;GIMANZOR;M.GERMAIN;1;0;0;0.0;0.0
GIMLIRUSH;HJOURNIAC;GIMLI RUSH;H.JOURNIAC;1;0;0;0.0;0.0
GIMMEFIVE;FERRARISL;GIMME FIVE;FERRARIS L.;2;0;0;0.0;0.0
GIMMEFIVE;PROBERTD;GIMME FIVE;PROBERT D.;1;0;0;0.0;0.0
GIMMEFIVE;TEETANK;GIMME FIVE;TEETAN K.;1;0;0;0.0;0.0
GIMMESOMELUCK;RAJIVMARAGH;GIMME SOME LUCK;Rajiv Maragh;1;0;1;0.0;100.0
GIMMESOMELUCK;RMARAGH;GIMME SOME LUCK;R MARAGH;1;0;0;0.0;0.0
GIMMIEMINNIE;SHAYFARMER;GIMMIEMINNIE;SHAY FARMER;1;0;0;0.0;0.0
GIMMS;MADIHIZOUHAIR;GIMMS;MADIHI ZOUHAIR;1;0;0;0.0;0.0
GINA'SLION;MMEYVONNEDONZE;GINA'S LION;MME YVONNE DONZE;2;0;1;0.0;50.0
GINADUSOLEIL;ADELEPINE;GINA DU SOLEIL;A.DE LEPINE;1;0;0;0.0;0.0
GINADUSOLEIL;NMLOPESDUARTE;GINA DU SOLEIL;N.M..LOPES DUARTE;1;0;0;0.0;0.0
GINADUSOLEIL;SLEQUILLEUC;GINA DU SOLEIL;S.LE QUILLEUC;2;0;0;0.0;0.0
GINEBRA;ERICACOSTA;GINEBRA;ERIC ACOSTA;1;0;0;0.0;0.0
GINGEMBRE;AHAMELIN;GIN GEMBRE;A.HAMELIN;11;0;5;0.0;45.5
GINGEMBRE;FVALLESKAR;GIN GEMBRE;F.VALLE SKAR;1;0;0;0.0;0.0
GINGEMBRE;TTRULLIER;GIN GEMBRE;T.TRULLIER;1;0;0;0.0;0.0
GINGERBAKER;NATASHAFAITHFULL;GINGER BAKER;NATASHA FAITHFULL;1;0;0;0.0;0.0
GINGERQUEST;AMYJOHAYES;GINGERQUEST;AMY JO HAYES;1;0;1;0.0;100.0
GINGERSSISTER;HOLLYNOTTLE;GINGERS SISTER;HOLLY NOTTLE;1;0;0;0.0;0.0
GINGERSSISTER;LUKECAMPBELL;GINGERS SISTER;LUKE CAMPBELL;1;0;0;0.0;0.0
GINGIN;LSAEZ;GIN GIN;L SAEZ;1;0;0;0.0;0.0
GINTONI;RAFAELFRANCISCOCISTERNASAYALA;GINTONI;RAFAEL FRANCISCO CISTERNAS AYALA;1;0;0;0.0;0.0
GIOCATORE;GERSONPEREDA;GIOCATORE;GERSON  PEREDA;3;2;2;66.7;66.7
GIOCATORE;NICOLASIGNACIOVENEGASOSSES;GIOCATORE;NICOLAS IGNACIO VENEGAS OSSES;1;0;0;0.0;0.0
GIOCOSO;JGRAHAM;GIOCOSO;J GRAHAM;1;0;0;0.0;0.0
GIOCOSO;LSAEZ;GIOCOSO;L SAEZ;1;0;0;0.0;0.0
GIORGIANA;AMOLINS;GIORGIANA;A.MOLINS;3;1;2;33.3;66.7
GIORGIANA;IMENDIZABAL;GIORGIANA;I.MENDIZABAL;1;1;1;100.0;100.0
GIORGIODICAPRI;ALBERTOJESUSVASQUEZVASQUEZ;GIORGIO DI CAPRI;ALBERTO JESUS VASQUEZ VASQUEZ;2;0;0;0.0;0.0
GIOTTODESPLACHIS;FVERON;GIOTTO DES PLACHIS;F.VERON;1;0;0;0.0;0.0
GIOTTODESPLACHIS;LGROSSO;GIOTTO DES PLACHIS;L.GROSSO;1;0;0;0.0;0.0
GIOVANNI;COLLETTJ;GIOVANNI;COLLETT J.;1;0;0;0.0;0.0
GIOVANNIGIORGIO;ALEMAITRE;GIOVANNI GIORGIO;A.LEMAITRE;1;0;0;0.0;0.0
GIOVANNIGIORGIO;DPROVOST;GIOVANNI GIORGIO;D.PROVOST;1;0;0;0.0;0.0
GIPSYPRINCESS;LWOLFF;GIPSY PRINCESS;L.WOLFF;1;0;1;0.0;100.0
GIPSYVANNER;CARLOSALEJANDROORTEGATAPIA;GIPSY VANNER;CARLOS ALEJANDRO ORTEGA TAPIA;3;1;1;33.3;33.3
GIPSYVANNER;CRISTIANPATRICIOBOBADILLAREBO;GIPSY VANNER;CRISTIAN PATRICIO BOBADILLA REBO;2;0;0;0.0;0.0
GIPSYVANNER;JORGEIGNACIOBAEZARIVEROS;GIPSY VANNER;JORGE IGNACIO BAEZA RIVEROS;1;0;0;0.0;0.0
GIRAFFE;AMOLINS;GIRAFFE;A.MOLINS;2;0;0;0.0;0.0
GIRAFFE;CBILLARDELLO;GIRAFFE;C.BILLARDELLO;1;0;0;0.0;0.0
GIRAFFE;HBESNIER;GIRAFFE;H.BESNIER;2;0;1;0.0;50.0
GIRAFFE;MGRANDIN;GIRAFFE;M.GRANDIN;2;0;0;0.0;0.0
GIRAFO;ADUQUESNOY;GIRAFO;A.DUQUESNOY;2;0;0;0.0;0.0
GIRAFO;HBOUTIN;GIRAFO;H.BOUTIN;1;0;0;0.0;0.0
GIRAGIRA;EDUARDOORTEGAPAVON;GIRAGIRA;EDUARDO ORTEGA PAVON;1;0;0;0.0;0.0
GIRAGIRA;MAXIMILIANOHERNANMACHADO;GIRAGIRA;MAXIMILIANO HERNAN MACHADO;1;0;0;0.0;0.0
GIRLINBLUE;LPANICI;GIRL IN BLUE;L PANICI;2;0;0;0.0;0.0
GIRLPOWER;WILFREDOANDRESTORRESMALDONADO;GIRL POWER;WILFREDO ANDRES TORRES MALDONADO;2;0;1;0.0;50.0
