Cheval_clean;Hippo;Cheval;Hippodrome;Courses;Victoires;Podiums;Moyenne_classement;Derniere_course;Taux_victoire;Taux_podium;Jours_depuis
TOPTOWNTELLTALE;LYON-PARILLY;TOP TOWN TELL TALE;LYON-PARILLY;2;0;0;3.5;2026-06-22;0.0;0.0;29.0
TOPTOWNTELLTALE;ParisLongchamp;TOP TOWN TELL TALE;ParisLongchamp;1;0;0;14.0;2026-07-14;0.0;0.0;7.0
TOPTOWNTELLTALE;SAINT-CLOUD;TOP TOWN TELL TALE;SAINT-CLOUD;2;1;1;4.5;2026-05-22;50.0;50.0;60.0
TOPWARRIOR;EPSOM DOWNS;TOPWARRIOR;EPSOM DOWNS;1;0;0;14.0;2026-06-06;0.0;0.0;45.0
TOPY'SIM;LYON-PARILLY;TOPY'SIM;LYON-PARILLY;1;0;1;2.0;2026-04-13;0.0;100.0;99.0
TOPY'SIM;ParisLongchamp;TOPY'SIM;ParisLongchamp;2;1;1;5.5;2026-06-04;50.0;50.0;47.0
TOPY'SIM;SAINT-CLOUD;TOPY'SIM;SAINT-CLOUD;1;0;1;3.0;2026-07-05;0.0;100.0;16.0
TOQUEPERFECTO;PALERMO;TOQUE PERFECTO;PALERMO;1;0;0;9.0;2026-06-13;0.0;0.0;38.0
TORCELLO;KEMPTON PARK;TORCELLO;KEMPTON PARK;1;0;0;6.0;2026-01-07;0.0;0.0;195.0
TORDILLADIVINA;SANTIAGO;TORDILLA DIVINA;SANTIAGO;1;0;0;6.0;2026-04-17;0.0;0.0;95.0
TOREBEK;BORELY;TOREBEK;BORELY;1;0;0;5.0;2026-04-30;0.0;0.0;82.0
TOREBEK;CAGNES/MER;TOREBEK;CAGNES/MER;3;0;1;7.0;2026-02-09;0.0;33.3;162.0
TOREBEK;PONT DE VIVAUX;TOREBEK;PONT DE VIVAUX;3;0;1;4.333333333333333;2026-05-22;0.0;33.3;60.0
TOREBEK;SALON DE PROVENCE;TOREBEK;SALON DE PROVENCE;1;0;0;4.0;2026-04-16;0.0;0.0;96.0
TORIBIAMORRIS;PALERMO;TORIBIA MORRIS;PALERMO;1;1;1;1.0;2026-05-23;100.0;100.0;59.0
TORMENTACHINA;PALERMO;TORMENTA CHINA;PALERMO;5;3;3;3.6;2026-05-04;60.0;60.0;78.0
TORMENTAINDOMABLE;SANTIAGO;TORMENTA INDOMABLE;SANTIAGO;1;0;0;11.0;2026-06-29;0.0;0.0;22.0
TORNADO;BADEN-BADEN;TORNADO;BADEN-BADEN;1;0;0;7.0;2026-06-07;0.0;0.0;44.0
TORNADOALLEY;CHANTILLY;TORNADO ALLEY;CHANTILLY;3;1;2;2.6666666666666665;2026-03-16;33.3;66.7;127.0
TORNADOALLEY;DIEPPE;TORNADO ALLEY;DIEPPE;1;0;0;0.0;2026-05-16;0.0;0.0;66.0
TORNADOALLEY;ParisLongchamp;TORNADO ALLEY;ParisLongchamp;2;1;2;1.5;2026-06-11;50.0;100.0;40.0
TORNADODEBULI;SANTIAGO;TORNADO DE BULI;SANTIAGO;3;0;0;10.0;2026-05-04;0.0;0.0;78.0
TORNADOSTORM;MARONAS;TORNADO STORM;MARONAS;2;0;0;6.5;2026-04-19;0.0;0.0;93.0
TORNILLA;LA TESTE;TORNILLA;LA TESTE;3;1;2;1.0;2026-06-25;33.3;66.7;26.0
TORNILLA;LE BOUSCAT;TORNILLA;LE BOUSCAT;2;1;1;2.5;2026-05-23;50.0;50.0;59.0
TORONJA;GULFSTREAM PARK;TORONJA;GULFSTREAM PARK;1;0;0;6.0;2026-07-12;0.0;0.0;9.0
