Cheval_clean;Hippo;Cheval;Hippodrome;Courses;Victoires;Podiums;Moyenne_classement;Derniere_course;Taux_victoire;Taux_podium;Jours_depuis
GLORIOSOMISTER;PALERMO;GLORIOSO MISTER;PALERMO;1;0;1;3.0;2026-02-16;0.0;100.0;155.0
GLORIOSOMISTER;SAN ISIDRO;GLORIOSO MISTER;SAN ISIDRO;1;0;0;6.0;2026-04-08;0.0;0.0;104.0
GLORIOSORIM;PALERMO;GLORIOSO RIM;PALERMO;2;0;0;6.5;2026-06-22;0.0;0.0;29.0
GLORIOSSISIMA;SAN ISIDRO;GLORIOSSISIMA;SAN ISIDRO;1;0;0;7.0;2026-02-10;0.0;0.0;161.0
GLORIOUSCROSS;CRAON;GLORIOUS CROSS;CRAON;1;0;0;8.0;2026-06-04;0.0;0.0;47.0
GLORIOUSCROSS;LE MANS;GLORIOUS CROSS;LE MANS;2;0;0;8.0;2026-04-21;0.0;0.0;91.0
GLORIOUSDYNASTY;SHA TIN (HONG KONG);GLORIOUS DYNASTY;SHA TIN (HONG KONG);1;0;0;6.0;2026-05-17;0.0;0.0;65.0
GLORIOUSEXPERT;HAPPY VALLEY;GLORIOUS EXPERT;HAPPY VALLEY;1;0;0;5.0;2026-01-28;0.0;0.0;174.0
GLORIOUSGAME;NEWMARKET JULY;GLORIOUS GAME;NEWMARKET JULY;1;1;1;1.0;2026-06-25;100.0;100.0;26.0
GLORIOUSGAME;WINDSOR;GLORIOUS GAME;WINDSOR;1;1;1;1.0;2026-06-08;100.0;100.0;43.0
GLORIOUSJOURNEY;HAPPY VALLEY;GLORIOUS JOURNEY;HAPPY VALLEY;7;0;3;4.571428571428571;2026-06-24;0.0;42.9;27.0
GLORIOUSPRIZE;SANTIAGO;GLORIOUS PRIZE;SANTIAGO;1;0;0;11.0;2026-03-20;0.0;0.0;123.0
GLORIOUSRYDER;HAPPY VALLEY;GLORIOUS RYDER;HAPPY VALLEY;4;1;1;8.25;2026-06-30;25.0;25.0;21.0
GLORIOUSRYDER;SHA TIN (HONG KONG);GLORIOUS RYDER;SHA TIN (HONG KONG);3;0;0;7.666666666666667;2026-07-04;0.0;0.0;17.0
GLORIOUSSTPAUL'S;SHA TIN (HONG KONG);GLORIOUS ST PAUL'S;SHA TIN (HONG KONG);2;0;0;6.0;2026-05-06;0.0;0.0;76.0
GLORIOUSSUCCESS;SHA TIN (HONG KONG);GLORIOUS SUCCESS;SHA TIN (HONG KONG);3;0;0;7.333333333333333;2026-05-06;0.0;0.0;76.0
GLORYB;HAPPY VALLEY;GLORY B;HAPPY VALLEY;1;0;0;7.0;2026-06-30;0.0;0.0;21.0
GLORYB;SHA TIN (HONG KONG);GLORY B;SHA TIN (HONG KONG);1;0;0;12.0;2026-07-10;0.0;0.0;11.0
GLORYCLOUD;HAPPY VALLEY;GLORY CLOUD;HAPPY VALLEY;1;0;0;4.0;2026-07-08;0.0;0.0;13.0
GLORYCLOUD;SHA TIN (HONG KONG);GLORY CLOUD;SHA TIN (HONG KONG);1;0;0;6.0;2026-01-21;0.0;0.0;181.0
GLORYDAYS;NANCY-BRABOIS;GLORY DAYS;NANCY-BRABOIS;1;0;0;5.0;2026-06-05;0.0;0.0;46.0
GLORYDAYS;STRASBOURG;GLORY DAYS;STRASBOURG;1;0;0;8.0;2026-05-08;0.0;0.0;74.0
GLORYFIGHTER;NEWCASTLE;GLORY FIGHTER;NEWCASTLE;1;0;0;8.0;2026-01-22;0.0;0.0;180.0
GLORYGLORY;GULFSTREAM PARK;GLORY GLORY;GULFSTREAM PARK;1;1;1;1.0;2026-02-13;100.0;100.0;158.0
GLORYHIGHNESS;CLAIREFONTAINE;GLORY HIGHNESS;CLAIREFONTAINE;1;0;1;3.0;2026-07-11;0.0;100.0;10.0
GLORYKING;DEAUVILLE;GLORY KING;DEAUVILLE;1;0;0;4.0;2026-01-22;0.0;0.0;180.0
GLORYLAND;SAINT BRIEUC;GLORY LAND;SAINT BRIEUC;1;0;0;6.0;2026-03-10;0.0;0.0;133.0
GLORYLAND;VICHY;GLORY LAND;VICHY;1;0;0;5.0;2026-05-24;0.0;0.0;58.0
GLORYOFGOD;MARONAS;GLORY OF GOD;MARONAS;1;0;0;9.0;2026-01-18;0.0;0.0;184.0
GLORYOSOTEXANO;PALERMO;GLORYOSO TEXANO;PALERMO;2;0;0;6.5;2026-05-04;0.0;0.0;78.0
GLORYROBNOR;SAN ISIDRO;GLORY ROBNOR;SAN ISIDRO;1;0;1;3.0;2026-03-10;0.0;100.0;133.0
GLORYTOBE;CURRAGH;GLORY TO BE;CURRAGH;2;0;0;9.0;2026-07-18;0.0;0.0;3.0
GLORYWOOD;COMPIEGNE;GLORY WOOD;COMPIEGNE;1;0;1;2.0;2026-05-20;0.0;100.0;62.0
GLORYWOOD;DEAUVILLE;GLORY WOOD;DEAUVILLE;1;0;0;8.0;2026-04-08;0.0;0.0;104.0
GLORYWOOD;LYON-PARILLY;GLORY WOOD;LYON-PARILLY;2;0;0;9.5;2026-05-08;0.0;0.0;74.0
GLORYWOOD;SAINT-CLOUD;GLORY WOOD;SAINT-CLOUD;1;0;0;16.0;2026-03-05;0.0;0.0;138.0
GLOWINGPRAISES;HAPPY VALLEY;GLOWING PRAISES;HAPPY VALLEY;2;0;1;4.5;2026-05-20;0.0;50.0;62.0
GLOWINGPRAISES;SHA TIN (HONG KONG);GLOWING PRAISES;SHA TIN (HONG KONG);2;0;1;3.5;2026-04-06;0.0;50.0;106.0
GLOWUP;COMPIEGNE;GLOW UP;COMPIEGNE;1;0;0;9.0;2026-05-25;0.0;0.0;57.0
GLOWUP;DAX;GLOW UP;DAX;1;0;0;7.0;2026-05-10;0.0;0.0;72.0
GLOWUP;LA CEPIERE;GLOW UP;LA CEPIERE;2;1;1;3.0;2026-06-08;50.0;50.0;43.0
GLOWUP;LA TESTE;GLOW UP;LA TESTE;1;0;0;8.0;2026-06-26;0.0;0.0;25.0
GLOWUP;LE BOUSCAT;GLOW UP;LE BOUSCAT;1;0;0;7.0;2026-04-11;0.0;0.0;101.0
GLYFADA;ASCOT;GLYFADA;ASCOT;1;0;0;5.0;2026-06-19;0.0;0.0;32.0
GMARISHOT;CASABLANCA;GMAR IS HOT;CASABLANCA;1;0;0;0.0;2026-01-05;0.0;0.0;197.0
GNEISENAU;PALERMO;GNEISENAU;PALERMO;2;0;1;3.5;2026-03-16;0.0;50.0;127.0
GNEISENAU;SAN ISIDRO;GNEISENAU;SAN ISIDRO;1;0;0;7.0;2026-05-13;0.0;0.0;69.0
GNOCCHI;KEMPTON PARK;GNOCCHI;KEMPTON PARK;1;0;0;7.0;2026-03-25;0.0;0.0;118.0
GOATHLETICO;CURRAGH;GO ATHLETICO;CURRAGH;2;0;1;4.0;2026-07-18;0.0;50.0;3.0
GOBERNADORACRAF;MARONAS;GOBERNADORA CRAF;MARONAS;2;0;0;2.5;2026-04-19;0.0;0.0;93.0
GOBIERNO;SAN ISIDRO;GOBIERNO;SAN ISIDRO;1;0;0;9.0;2026-06-30;0.0;0.0;21.0
GOBLET;NEWBURY;GOBLET;NEWBURY;1;0;0;4.0;2026-06-23;0.0;0.0;28.0
GOBLETOFFIRE;NEWMARKET;GOBLET OF FIRE;NEWMARKET;1;0;1;3.0;2026-07-10;0.0;100.0;11.0
GOCANDYGO;SAN ISIDRO;GO CANDY GO;SAN ISIDRO;1;0;0;4.0;2026-03-04;0.0;0.0;139.0
GOCASSIS;LA TESTE;GO CASSIS;LA TESTE;1;0;0;5.0;2026-04-22;0.0;0.0;90.0
GOCASSIS;SAINT-CLOUD;GO CASSIS;SAINT-CLOUD;1;0;0;10.0;2026-05-05;0.0;0.0;77.0
GOCHROMEGO;MEYDAN (E.A.U);GO CHROME GO;MEYDAN (E.A.U);3;0;0;6.0;2026-03-06;0.0;0.0;137.0
GOD'SCROSS;BUNBURY AUSTRALIE;GOD'S CROSS;BUNBURY AUSTRALIE;1;0;1;2.0;2026-02-10;0.0;100.0;161.0
GODESS;PALERMO;GODESS;PALERMO;1;0;0;8.0;2026-02-28;0.0;0.0;143.0
GODESSA;CHANTILLY;GODESSA;CHANTILLY;3;0;0;13.0;2026-03-12;0.0;0.0;131.0
GODESSA;DEAUVILLE;GODESSA;DEAUVILLE;2;0;0;14.0;2026-01-30;0.0;0.0;172.0
GODESSA;MONT DE MARSAN;GODESSA;MONT DE MARSAN;1;0;0;10.0;2026-03-23;0.0;0.0;120.0
GODESSA;PONT DE VIVAUX;GODESSA;PONT DE VIVAUX;1;0;0;9.0;2026-06-20;0.0;0.0;31.0
GODESSA;ParisLongchamp;GODESSA;ParisLongchamp;1;0;0;14.0;2026-05-30;0.0;0.0;52.0
GODGIVENTALENT;ASCOT;GOD GIVEN TALENT;ASCOT;1;0;0;19.0;2026-06-16;0.0;0.0;35.0
GODHARMA;AQUEDUCT;GO DHARMA;AQUEDUCT;1;0;0;5.0;2026-06-13;0.0;0.0;38.0
GODHASDRIFTED;MOUNT BARKER AUSTRALIE;GOD HAS DRIFTED;MOUNT BARKER AUSTRALIE;1;0;0;5.0;2026-02-08;0.0;0.0;163.0
GODOFWAR;KEMPTON PARK;GOD OF WAR;KEMPTON PARK;2;0;0;4.0;2026-03-18;0.0;0.0;125.0
GODSAVETHEQUEEN;CHANTILLY;GOD SAVE THE QUEEN;CHANTILLY;1;0;0;12.0;2026-02-25;0.0;0.0;146.0
GODSAVETHEQUEEN;CLAIREFONTAINE;GOD SAVE THE QUEEN;CLAIREFONTAINE;1;1;1;1.0;2026-07-30;100.0;100.0;-9.0
GODSAVETHEQUEEN;LE LION D'ANGERS;GOD SAVE THE QUEEN;LE LION D'ANGERS;1;0;1;2.0;2026-04-20;0.0;100.0;92.0
GODSAVETHEQUEEN;ParisLongchamp;GOD SAVE THE QUEEN;ParisLongchamp;2;1;2;2.0;2026-06-04;50.0;100.0;47.0
GODSAVETHEQUEEN;SENONNES POUANCE;GOD SAVE THE QUEEN;SENONNES POUANCE;1;0;1;3.0;2026-04-08;0.0;100.0;104.0
GODSPEED;ASCOT;GODSPEED;ASCOT;1;0;0;9.0;2026-06-17;0.0;0.0;34.0
GODSPEED;ParisLongchamp;GODSPEED;ParisLongchamp;1;0;1;2.0;2026-04-23;0.0;100.0;89.0
GODWINSON;ASCOT;GODWINSON;ASCOT;1;0;0;0.0;2026-06-17;0.0;0.0;34.0
GOFASTFAL;CASABLANCA;GO FAST FAL;CASABLANCA;1;0;0;8.0;2026-03-30;0.0;0.0;113.0
GOFLYING;BADEN-BADEN;GO FLYING;BADEN-BADEN;1;0;1;2.0;2026-06-07;0.0;100.0;44.0
GOFORGOLD;FFOS LAS;GO FOR GOLD;FFOS LAS;1;0;0;8.0;2026-06-23;0.0;0.0;28.0
GOFORIT;NANCY-BRABOIS;GO FOR IT;NANCY-BRABOIS;1;0;0;6.0;2026-05-20;0.0;0.0;62.0
GOFORIT;STRASBOURG;GO FOR IT;STRASBOURG;4;0;0;8.0;2026-06-16;0.0;0.0;35.0
GOFORIT;VITTEL;GO FOR IT;VITTEL;1;0;0;8.0;2026-07-19;0.0;0.0;2.0
GOGIRLGO;BADEN-BADEN;GO GIRL GO;BADEN-BADEN;1;0;0;9.0;2026-06-07;0.0;0.0;44.0
GOGIRLGO;HAMBOURG HORN;GO GIRL GO;HAMBOURG HORN;1;0;0;6.0;2026-07-05;0.0;0.0;16.0
GOGOBLITZ;VITTEL;GO GO BLITZ;VITTEL;1;0;1;2.0;2026-07-06;0.0;100.0;15.0
GOGODUBREUIL;PORNICHET;GOGO DU BREUIL;PORNICHET;2;0;0;3.5;2026-01-07;0.0;0.0;195.0
GOGOGO;SHA TIN (HONG KONG);GO GO GO;SHA TIN (HONG KONG);3;0;1;6.0;2026-05-06;0.0;33.3;76.0
GOGRACEGO;GULFSTREAM PARK;GO GRACE GO;GULFSTREAM PARK;1;1;1;1.0;2026-03-19;100.0;100.0;124.0
GOGREY;LAUREL PARK USA;GO GREY;LAUREL PARK USA;1;0;0;0.0;2026-05-14;0.0;0.0;68.0
GOGUENSPAISE;DEAUVILLE;GOGUEN SPAISE;DEAUVILLE;1;0;0;14.0;2026-01-23;0.0;0.0;179.0
GOGUENSPAISE;PORNICHET;GOGUEN SPAISE;PORNICHET;1;0;1;3.0;2026-02-18;0.0;100.0;153.0
GOGUENSPAISE;ParisLongchamp;GOGUEN SPAISE;ParisLongchamp;3;0;0;5.666666666666667;2026-07-09;0.0;0.0;12.0
GOINGTOWIN;SAN ISIDRO;GOING TO WIN;SAN ISIDRO;1;0;0;8.0;2026-03-28;0.0;0.0;115.0
GOJOHNNYGOGOGO;AIX LES BAINS;GO JOHNNY GO GO GO;AIX LES BAINS;1;0;0;4.0;2026-07-07;0.0;0.0;14.0
GOJOHNNYGOGOGO;BORELY;GO JOHNNY GO GO GO;BORELY;2;0;0;6.0;2026-04-30;0.0;0.0;82.0
GOJOHNNYGOGOGO;CAVAILLON;GO JOHNNY GO GO GO;CAVAILLON;1;0;0;6.0;2026-05-10;0.0;0.0;72.0
GOJOHNNYGOGOGO;FONTAINEBLEAU;GO JOHNNY GO GO GO;FONTAINEBLEAU;2;0;0;10.5;2026-03-17;0.0;0.0;126.0
GOJOHNNYGOGOGO;SALON DE PROVENCE;GO JOHNNY GO GO GO;SALON DE PROVENCE;2;1;2;1.5;2026-06-17;50.0;100.0;34.0
GOJUSTDOIT;CURRAGH;GO JUST DO IT;CURRAGH;1;0;0;9.0;2026-05-23;0.0;0.0;59.0
GOKENGO;AIX LES BAINS;GO KEN GO;AIX LES BAINS;1;0;1;3.0;2026-07-07;0.0;100.0;14.0
GOKENGO;CHANTILLY;GO KEN GO;CHANTILLY;3;0;1;7.333333333333333;2026-06-19;0.0;33.3;32.0
GOKENGO;FONTAINEBLEAU;GO KEN GO;FONTAINEBLEAU;3;0;0;6.0;2026-04-20;0.0;0.0;92.0
GOKENGO;LA TESTE;GO KEN GO;LA TESTE;1;0;0;6.0;2026-06-26;0.0;0.0;25.0
GOKENGO;LE CROISE LAROCHE;GO KEN GO;LE CROISE LAROCHE;1;0;1;3.0;2026-05-17;0.0;100.0;65.0
GOKITA;CHANTILLY;GOKITA;CHANTILLY;1;0;0;4.0;2026-05-12;0.0;0.0;70.0
GOKITA;DIEPPE;GOKITA;DIEPPE;1;0;0;10.0;2026-07-18;0.0;0.0;3.0
GOKITA;LA TESTE;GOKITA;LA TESTE;1;0;0;5.0;2026-06-30;0.0;0.0;21.0
GOKOWIN;HAPPY VALLEY;GOKO WIN;HAPPY VALLEY;1;0;0;5.0;2026-03-18;0.0;0.0;125.0
GOKU;NANCY-BRABOIS;GOKU;NANCY-BRABOIS;1;0;0;7.0;2026-04-26;0.0;0.0;86.0
GOLCELESTE;MARONAS;GOL CELESTE;MARONAS;1;0;1;3.0;2026-06-21;0.0;100.0;30.0
GOLDANDCASH;CHANTILLY;GOLD AND CASH;CHANTILLY;3;0;1;10.666666666666666;2026-05-19;0.0;33.3;63.0
GOLDANDCASH;COMPIEGNE;GOLD AND CASH;COMPIEGNE;1;0;0;6.0;2026-06-05;0.0;0.0;46.0
GOLDANDCASH;NANCY-BRABOIS;GOLD AND CASH;NANCY-BRABOIS;1;0;0;10.0;2026-04-04;0.0;0.0;108.0
GOLDANDCASH;ParisLongchamp;GOLD AND CASH;ParisLongchamp;1;0;0;13.0;2026-07-20;0.0;0.0;1.0
GOLDANDDREAM;ARGENTAN;GOLD AND DREAM;ARGENTAN;1;0;0;11.0;2026-04-09;0.0;0.0;103.0
GOLDANDDREAM;CHANTILLY;GOLD AND DREAM;CHANTILLY;1;0;0;14.0;2026-03-26;0.0;0.0;117.0
GOLDANDDREAM;DEAUVILLE;GOLD AND DREAM;DEAUVILLE;1;0;0;6.0;2026-01-29;0.0;0.0;173.0
GOLDCROSS;MARONAS;GOLDCROSS;MARONAS;2;0;0;10.0;2026-05-30;0.0;0.0;52.0
GOLDDIGGER;ASCOT;GOLD DIGGER;ASCOT;1;0;0;9.0;2026-06-19;0.0;0.0;32.0
GOLDDIGGER;SANDOWN PARK;GOLD DIGGER;SANDOWN PARK;1;0;0;6.0;2026-07-04;0.0;0.0;17.0
GOLDENACE;SHA TIN (HONG KONG);GOLDEN ACE;SHA TIN (HONG KONG);1;0;1;3.0;2026-07-10;0.0;100.0;11.0
GOLDENALQA;PAU;GOLDEN ALQA;PAU;1;0;0;11.0;2026-01-13;0.0;0.0;189.0
GOLDENAMBITION;GULFSTREAM PARK;GOLDEN AMBITION;GULFSTREAM PARK;1;0;1;3.0;2026-05-29;0.0;100.0;53.0
GOLDENATHALIAH;AQUEDUCT;GOLDEN ATHALIAH;AQUEDUCT;1;0;0;9.0;2026-06-18;0.0;0.0;33.0
GOLDENBEACH;GULFSTREAM PARK;GOLDEN BEACH;GULFSTREAM PARK;2;0;1;3.0;2026-01-30;0.0;50.0;172.0
GOLDENBEACH;LYON-PARILLY;GOLDEN BEACH;LYON-PARILLY;3;0;1;6.666666666666667;2026-06-13;0.0;33.3;38.0
GOLDENBEACH;ParisLongchamp;GOLDEN BEACH;ParisLongchamp;1;0;1;3.0;2026-07-20;0.0;100.0;1.0
GOLDENBLUSH;BORELY;GOLDEN BLUSH;BORELY;3;2;3;1.6666666666666667;2026-06-12;66.7;100.0;39.0
GOLDENBLUSH;CAGNES/MER;GOLDEN BLUSH;CAGNES/MER;4;0;1;6.5;2026-02-18;0.0;25.0;153.0
GOLDENBLUSH;COMPIEGNE;GOLDEN BLUSH;COMPIEGNE;1;1;1;1.0;2026-07-10;100.0;100.0;11.0
GOLDENBLUSH;LA CEPIERE;GOLDEN BLUSH;LA CEPIERE;1;1;1;1.0;2026-04-19;100.0;100.0;93.0
GOLDENBLUSH;PONT DE VIVAUX;GOLDEN BLUSH;PONT DE VIVAUX;1;0;0;7.0;2026-03-09;0.0;0.0;134.0
GOLDENBLUSH;ParisLongchamp;GOLDEN BLUSH;ParisLongchamp;1;0;0;10.0;2026-05-21;0.0;0.0;61.0
GOLDENBREEZE;DAX;GOLDEN BREEZE;DAX;1;0;0;5.0;2026-06-29;0.0;0.0;22.0
GOLDENBREEZE;LA TESTE;GOLDEN BREEZE;LA TESTE;1;0;0;12.0;2026-04-22;0.0;0.0;90.0
GOLDENBREEZE;PAU;GOLDEN BREEZE;PAU;1;0;1;2.0;2026-01-20;0.0;100.0;182.0
GOLDENBREEZE;SALON DE PROVENCE;GOLDEN BREEZE;SALON DE PROVENCE;1;0;0;8.0;2026-06-17;0.0;0.0;34.0
GOLDENBREEZE;TARBES;GOLDEN BREEZE;TARBES;1;0;0;7.0;2026-04-05;0.0;0.0;107.0
GOLDENBRILLIANT;HAPPY VALLEY;GOLDEN BRILLIANT;HAPPY VALLEY;3;2;2;2.0;2026-04-08;66.7;66.7;104.0
GOLDENBROWN;CHANTILLY;GOLDEN BROWN;CHANTILLY;2;0;1;6.5;2026-02-05;0.0;50.0;166.0
GOLDENBROWN;LYON LA SOIE;GOLDEN BROWN;LYON LA SOIE;1;1;1;1.0;2026-03-11;100.0;100.0;132.0
GOLDENBROWN;LYON-PARILLY;GOLDEN BROWN;LYON-PARILLY;1;0;0;6.0;2026-06-21;0.0;0.0;30.0
GOLDENBROWN;NANTES;GOLDEN BROWN;NANTES;1;0;0;7.0;2026-04-14;0.0;0.0;98.0
GOLDENBROWN;PONT DE VIVAUX;GOLDEN BROWN;PONT DE VIVAUX;1;1;1;1.0;2026-03-22;100.0;100.0;121.0
GOLDENBROWN;ParisLongchamp;GOLDEN BROWN;ParisLongchamp;2;0;0;7.0;2026-07-09;0.0;0.0;12.0
GOLDENBROWN;SAINT-CLOUD;GOLDEN BROWN;SAINT-CLOUD;1;0;1;3.0;2026-04-24;0.0;100.0;88.0
GOLDENCALL;CHANTILLY;GOLDEN CALL;CHANTILLY;1;0;0;5.0;2026-06-24;0.0;0.0;27.0
GOLDENCALL;LYON-PARILLY;GOLDEN CALL;LYON-PARILLY;1;0;0;5.0;2026-05-30;0.0;0.0;52.0
GOLDENCALL;ParisLongchamp;GOLDEN CALL;ParisLongchamp;1;0;0;6.0;2026-04-12;0.0;0.0;100.0
GOLDENCALL;SAINT-CLOUD;GOLDEN CALL;SAINT-CLOUD;1;0;0;5.0;2026-03-19;0.0;0.0;124.0
GOLDENCANDOMBE;SAN ISIDRO;GOLDEN CANDOMBE;SAN ISIDRO;1;0;0;6.0;2026-04-30;0.0;0.0;82.0
GOLDENCANDY;MARONAS;GOLDEN CANDY;MARONAS;1;1;1;1.0;2026-01-18;100.0;100.0;184.0
GOLDENCHAMP;SHA TIN (HONG KONG);GOLDEN CHAMP;SHA TIN (HONG KONG);2;0;0;8.5;2026-04-19;0.0;0.0;93.0
GOLDENCITY;SALON DE PROVENCE;GOLDEN CITY;SALON DE PROVENCE;1;0;0;8.0;2026-06-17;0.0;0.0;34.0
GOLDENCOPPER;SANTIAGO;GOLDEN COPPER;SANTIAGO;2;0;0;7.5;2026-06-29;0.0;0.0;22.0
GOLDENDARCI;HAPPY VALLEY;GOLDEN DARCI;HAPPY VALLEY;1;0;0;11.0;2026-04-08;0.0;0.0;104.0
GOLDENDISC;CHANTILLY;GOLDEN DISC;CHANTILLY;2;0;0;2.0;2026-07-07;0.0;0.0;14.0
GOLDENDISC;COMPIEGNE;GOLDEN DISC;COMPIEGNE;1;1;1;1.0;2026-06-09;100.0;100.0;42.0
GOLDENDISC;LE MANS;GOLDEN DISC;LE MANS;1;0;1;2.0;2026-03-20;0.0;100.0;123.0
GOLDENDISC;ParisLongchamp;GOLDEN DISC;ParisLongchamp;1;0;0;6.0;2026-05-30;0.0;0.0;52.0
GOLDENEAST;VALPARAISO;GOLDEN EAST;VALPARAISO;7;1;4;4.285714285714286;2026-06-10;14.3;57.1;41.0
GOLDENEMPIRE;HAPPY VALLEY;GOLDEN EMPIRE;HAPPY VALLEY;5;0;1;6.0;2026-06-30;0.0;20.0;21.0
GOLDENEMPIRE;SHA TIN (HONG KONG);GOLDEN EMPIRE;SHA TIN (HONG KONG);2;0;0;7.0;2026-07-04;0.0;0.0;17.0
GOLDENFAIRY;HAPPY VALLEY;GOLDEN FAIRY;HAPPY VALLEY;3;0;0;10.666666666666666;2026-05-27;0.0;0.0;55.0
GOLDENFLASH;LYON LA SOIE;GOLDEN FLASH;LYON LA SOIE;1;0;0;11.0;2026-03-20;0.0;0.0;123.0
GOLDENFORTUNE;HAPPY VALLEY;GOLDEN FORTUNE;HAPPY VALLEY;1;0;1;2.0;2026-06-24;0.0;100.0;27.0
GOLDENFORTUNE;SHA TIN (HONG KONG);GOLDEN FORTUNE;SHA TIN (HONG KONG);2;0;1;3.5;2026-07-12;0.0;50.0;9.0
GOLDENFRIEND;CHANTILLY;GOLDEN FRIEND;CHANTILLY;1;0;0;10.0;2026-07-07;0.0;0.0;14.0
GOLDENFRIEND;COMPIEGNE;GOLDEN FRIEND;COMPIEGNE;1;0;1;3.0;2026-06-09;0.0;100.0;42.0
GOLDENFRIEND;DEAUVILLE;GOLDEN FRIEND;DEAUVILLE;1;0;0;9.0;2026-04-08;0.0;0.0;104.0
GOLDENFRIEND;LYON-PARILLY;GOLDEN FRIEND;LYON-PARILLY;1;0;1;3.0;2026-05-08;0.0;100.0;74.0
GOLDENFRIENDSHIP;HAPPY VALLEY;GOLDEN FRIENDSHIP;HAPPY VALLEY;8;0;2;5.625;2026-07-08;0.0;25.0;13.0
GOLDENGAMBLER;SANTIAGO;GOLDEN GAMBLER;SANTIAGO;1;0;0;0.0;2026-04-24;0.0;0.0;88.0
GOLDENGIANT;CONCEPCION;GOLDEN GIANT;CONCEPCION;3;0;2;3.0;2026-03-30;0.0;66.7;113.0
GOLDENHAVANA;NEWCASTLE;GOLDEN HAVANA;NEWCASTLE;1;0;0;4.0;2026-04-20;0.0;0.0;92.0
GOLDENHAVANA;WOLVERHAMPTON;GOLDEN HAVANA;WOLVERHAMPTON;1;0;0;0.0;2026-01-12;0.0;0.0;190.0
GOLDENHIND;CHANTILLY;GOLDEN HIND;CHANTILLY;2;0;0;7.0;2026-06-19;0.0;0.0;32.0
GOLDENHIND;DIEPPE;GOLDEN HIND;DIEPPE;2;0;1;3.0;2026-06-06;0.0;50.0;45.0
GOLDENHIND;SAINT-CLOUD;GOLDEN HIND;SAINT-CLOUD;2;0;0;6.5;2026-04-30;0.0;0.0;82.0
GOLDENJEWEL;MARONAS;GOLDEN JEWEL;MARONAS;2;0;0;2.5;2026-06-28;0.0;0.0;23.0
GOLDENKNIGHT;ASCOT;GOLDEN KNIGHT;ASCOT;1;0;0;12.0;2026-06-18;0.0;0.0;33.0
GOLDENKNIGHT;CLAIREFONTAINE;GOLDEN KNIGHT;CLAIREFONTAINE;1;0;0;6.0;2026-07-06;0.0;0.0;15.0
GOLDENMAY;MUNICH-RIEM;GOLDEN MAY;MUNICH-RIEM;1;0;0;7.0;2026-04-19;0.0;0.0;93.0
GOLDENMAZEL;COMPIEGNE;GOLDEN MAZEL;COMPIEGNE;1;0;0;12.0;2026-07-16;0.0;0.0;5.0
GOLDENMAZEL;ParisLongchamp;GOLDEN MAZEL;ParisLongchamp;1;0;0;13.0;2026-04-12;0.0;0.0;100.0
GOLDENMIND;ASCOT;GOLDEN MIND;ASCOT;1;0;0;0.0;2026-06-18;0.0;0.0;33.0
GOLDENMIND;EPSOM DOWNS;GOLDEN MIND;EPSOM DOWNS;1;0;0;8.0;2026-06-06;0.0;0.0;45.0
GOLDENMIND;KEMPTON PARK;GOLDEN MIND;KEMPTON PARK;1;0;0;7.0;2026-03-18;0.0;0.0;125.0
GOLDENMUSE;DONCASTER;GOLDEN MUSE;DONCASTER;1;0;1;3.0;2026-04-25;0.0;100.0;87.0
GOLDENORBIT;ASCOT;GOLDEN ORBIT;ASCOT;1;0;0;10.0;2026-06-18;0.0;0.0;33.0
GOLDENPALM;CAGNES/MER;GOLDENPALM;CAGNES/MER;2;0;1;4.0;2026-02-18;0.0;50.0;153.0
GOLDENPALM;COMPIEGNE;GOLDENPALM;COMPIEGNE;1;0;0;7.0;2026-06-05;0.0;0.0;46.0
GOLDENPALM;LYON-PARILLY;GOLDENPALM;LYON-PARILLY;1;0;1;2.0;2026-04-13;0.0;100.0;99.0
GOLDENPALM;PONT DE VIVAUX;GOLDENPALM;PONT DE VIVAUX;1;0;1;2.0;2026-01-04;0.0;100.0;198.0
GOLDENPASMAN;SAN ISIDRO;GOLDEN PASMAN;SAN ISIDRO;1;0;0;7.0;2026-01-20;0.0;0.0;182.0
GOLDENPROSPERITY;NEWCASTLE;GOLDEN PROSPERITY;NEWCASTLE;1;0;0;6.0;2026-03-11;0.0;0.0;132.0
GOLDENRAFA;PALERMO;GOLDEN RAFA;PALERMO;2;0;0;7.0;2026-05-21;0.0;0.0;61.0
GOLDENRIVER;DEAUVILLE;GOLDEN RIVER;DEAUVILLE;1;0;0;15.0;2026-07-12;0.0;0.0;9.0
GOLDENRIVER;PORNICHET;GOLDEN RIVER;PORNICHET;4;0;1;10.25;2026-02-27;0.0;25.0;144.0
GOLDENRIVER;SENONNES POUANCE;GOLDEN RIVER;SENONNES POUANCE;1;0;0;6.0;2026-03-13;0.0;0.0;130.0
GOLDENRUN;NANTES;GOLDEN RUN;NANTES;1;0;1;3.0;2026-07-10;0.0;100.0;11.0
GOLDENRUN;VITTEL;GOLDEN RUN;VITTEL;1;0;1;2.0;2026-07-19;0.0;100.0;2.0
GOLDENSAVIOR;COMPIEGNE;GOLDEN SAVIOR;COMPIEGNE;2;0;0;4.5;2026-07-10;0.0;0.0;11.0
GOLDENSIM;CAGNES/MER;GOLDENSIM;CAGNES/MER;1;0;0;5.0;2026-02-18;0.0;0.0;153.0
