Cheval_clean;Terrain_clean;Cheval;Terrain;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
BANDIDAESTRELLITA;HERBE;BANDIDA ESTRELLITA;HERBE;1;0;0;8.0;0.0;0.0
BANDOFBROTHERS;HERBE;BAND OF BROTHERS;HERBE;1;0;0;4.0;0.0;0.0
BANDSTAND;GAZON;BANDSTAND;GAZON;1;0;0;9.0;0.0;0.0
BANDURRION;DEUX_ANS;BANDURRION;DEUX_ANS;1;0;0;9.0;0.0;0.0
BANISHING;GAZON;BANISHING;GAZON;2;1;1;0.5;50.0;50.0
BANISHING;QUATRE_ANS_ET_PLUS;BANISHING;QUATRE_ANS_ET_PLUS;1;0;0;8.0;0.0;0.0
BANKFRENZY;GAZON;BANK FRENZY;GAZON;1;0;0;7.0;0.0;0.0
BANKHOVSKI;GAZON;BANKHOVSKI;GAZON;3;0;0;6.666666666666667;0.0;0.0
BANKHOVSKI;HERBE;BANKHOVSKI;HERBE;3;0;2;3.3333333333333335;0.0;66.7
BANKONE;CINQ_ANS_ET_PLUS;BANK ONE;CINQ_ANS_ET_PLUS;1;0;1;3.0;0.0;100.0
BANMA;GAZON;BANMA;GAZON;3;0;0;4.333333333333333;0.0;0.0
BANMA;HERBE;BANMA;HERBE;2;0;0;13.5;0.0;0.0
BANNERED;DEUX_ANS_ET_PLUS;BANNERED;DEUX_ANS_ET_PLUS;1;0;0;6.0;0.0;0.0
BANQUERACOSMICA;QUATRE_ANS;BANQUERA COSMICA;QUATRE_ANS;1;1;1;1.0;100.0;100.0
BANSHIE;HERBE;BANSHIE;HERBE;2;0;0;9.0;0.0;0.0
BANSHOF;HERBE;BANSHOF;HERBE;1;0;0;8.0;0.0;0.0
BANSKY;GAZON;BANSKY;GAZON;1;0;0;6.0;0.0;0.0
BANSKY;HERBE;BANSKY;HERBE;1;0;0;6.0;0.0;0.0
BANTIA;CINQ_ANS_ET_PLUS;BANTIA;CINQ_ANS_ET_PLUS;2;0;0;5.0;0.0;0.0
BAPKIZA;GAZON;BAPKIZA;GAZON;1;0;0;5.0;0.0;0.0
BAPKIZA;TROIS_ANS_ET_PLUS;BAPKIZA;TROIS_ANS_ET_PLUS;4;2;3;2.25;50.0;75.0
BAPP;HERBE;BAPP;HERBE;1;0;1;2.0;0.0;100.0
BARALHOMARCADO;CINQ_ANS_ET_PLUS;BARALHO MARCADO;CINQ_ANS_ET_PLUS;1;0;0;5.0;0.0;0.0
BARALHOMARCADO;GAZON;BARALHO MARCADO;GAZON;3;1;2;2.6666666666666665;33.3;66.7
BARANELLO;GAZON;BARANELLO;GAZON;1;0;0;9.0;0.0;0.0
BARANELLO;QUATRE_ANS;BARANELLO;QUATRE_ANS;1;0;1;2.0;0.0;100.0
BARBADIN;HERBE;BARBADIN;HERBE;8;0;3;6.125;0.0;37.5
BARBAROSCAPE;HERBE;BARBARO SCAPE;HERBE;1;0;0;0.0;0.0;0.0
BARBATE;GAZON;BARBATE;GAZON;2;2;2;1.0;100.0;100.0
BARBATE;HERBE;BARBATE;HERBE;3;2;2;2.0;66.7;66.7
BARBIEBONITA;TROIS_ANS;BARBIE BONITA;TROIS_ANS;1;0;0;4.0;0.0;0.0
BARBIEDREAMS;HERBE;BARBIE DREAMS;HERBE;2;0;1;6.0;0.0;50.0
BARBURYBOY;HERBE;BARBURY BOY;HERBE;1;0;0;7.0;0.0;0.0
BARCOLA;HERBE;BARCOLA;HERBE;1;0;0;0.0;0.0;0.0
BARDASBLANCAS;HERBE;BARDAS BLANCAS;HERBE;1;0;0;14.0;0.0;0.0
BARDO;GAZON;BARDO;GAZON;2;0;0;6.5;0.0;0.0
BAREELEGANCE;HERBE;BARE ELEGANCE;HERBE;1;0;1;2.0;0.0;100.0
BARELLA;DEUX_ANS;BARELLA;DEUX_ANS;3;0;2;4.0;0.0;66.7
BARELLA;HERBE;BARELLA;HERBE;2;0;0;7.5;0.0;0.0
BARENBOIM;GAZON;BARENBOIM;GAZON;1;1;1;1.0;100.0;100.0
BARENIA;GAZON;BARENIA;GAZON;3;0;0;8.0;0.0;0.0
BARENIA;HERBE;BARENIA;HERBE;1;0;1;2.0;0.0;100.0
BARFOURTEEN;HERBE;BAR FOURTEEN;HERBE;1;0;1;2.0;0.0;100.0
BARGAINPURCHASE;HERBE;BARGAIN PURCHASE;HERBE;1;0;0;0.0;0.0;0.0
BARGINGTHRU;GAZON;BARGING THRU;GAZON;3;1;1;4.0;33.3;33.3
BARGINGTHRU;HERBE;BARGING THRU;HERBE;5;1;1;4.4;20.0;20.0
BARISSI;GAZON;BARISSI;GAZON;1;0;0;10.0;0.0;0.0
BARISTO;HERBE;BARISTO;HERBE;5;1;2;3.0;20.0;40.0
BARITONBEAR;GAZON;BARITON BEAR;GAZON;1;0;0;12.0;0.0;0.0
BARITONBEAR;HERBE;BARITON BEAR;HERBE;1;0;0;8.0;0.0;0.0
BARJISSE;GAZON;BARJISSE;GAZON;1;0;0;9.0;0.0;0.0
BARJISSE;QUATRE_ANS_ET_PLUS;BARJISSE;QUATRE_ANS_ET_PLUS;1;0;0;8.0;0.0;0.0
BARKER;TROIS_ANS_ET_PLUS;BARKER;TROIS_ANS_ET_PLUS;1;0;1;2.0;0.0;100.0
BARLEYBROWN;HERBE;BARLEYBROWN;HERBE;1;0;0;6.0;0.0;0.0
BARLEYBROWN;QUATRE_ANS_ET_PLUS;BARLEYBROWN;QUATRE_ANS_ET_PLUS;1;0;0;7.0;0.0;0.0
BARLEYWINE;GAZON;BARLEY WINE;GAZON;1;0;0;11.0;0.0;0.0
BARLOVENTO;HERBE;BARLOVENTO;HERBE;2;0;0;5.5;0.0;0.0
BARLOVENTO;QUATRE_ANS_ET_PLUS;BARLOVENTO;QUATRE_ANS_ET_PLUS;1;0;0;9.0;0.0;0.0
BARNEY'SBAY;GAZON;BARNEY'S BAY;GAZON;1;0;0;5.0;0.0;0.0
BARNSO;HERBE;BARNSO;HERBE;1;0;0;4.0;0.0;0.0
BARNSTORMING;HERBE;BARNSTORMING;HERBE;1;0;0;0.0;0.0;0.0
BARONESALATINA;CINQ_ANS_ET_PLUS;BARONESA LATINA;CINQ_ANS_ET_PLUS;1;0;0;5.0;0.0;0.0
BARONESALATINA;GAZON;BARONESA LATINA;GAZON;1;0;0;6.0;0.0;0.0
BAROUD;HERBE;BAROUD;HERBE;4;1;2;3.25;25.0;50.0
BARQALEMARAT;HERBE;BARQ AL EMARAT;HERBE;1;0;0;0.0;0.0;0.0
BARRIOBRAVO;TROIS_ANS_ET_PLUS;BARRIO BRAVO;TROIS_ANS_ET_PLUS;2;1;1;7.0;50.0;50.0
BARSSIO;GAZON;BARSSIO;GAZON;3;0;2;4.0;0.0;66.7
BARSSIO;HERBE;BARSSIO;HERBE;1;0;0;16.0;0.0;0.0
BARTLEMY;SIX_ANS_ET_PLUS;BARTLEMY;SIX_ANS_ET_PLUS;1;0;0;4.0;0.0;0.0
BARTO;GAZON;BARTO;GAZON;1;0;1;2.0;0.0;100.0
BARZAMBITION;GAZON;BARZAMBITION;GAZON;1;0;1;2.0;0.0;100.0
BARZAMBITION;HERBE;BARZAMBITION;HERBE;3;1;3;1.6666666666666667;33.3;100.0
BASANTI;GAZON;BASANTI;GAZON;3;1;1;5.0;33.3;33.3
BASANTI;HERBE;BASANTI;HERBE;4;0;1;4.5;0.0;25.0
BASCOBEARNAIS;GAZON;BASCO BEARNAIS;GAZON;1;0;0;7.0;0.0;0.0
BASEBALLLADY;GAZON;BASEBALL LADY;GAZON;2;1;1;3.0;50.0;50.0
BASENOTE;GAZON;BASE NOTE;GAZON;2;0;0;6.5;0.0;0.0
BASHA;HERBE;BASHA;HERBE;2;1;2;1.5;50.0;100.0
BASHEQ;GAZON;BASHEQ;GAZON;1;0;0;5.0;0.0;0.0
BASHFULBABY;GAZON;BASHFUL BABY;GAZON;1;0;0;0.0;0.0;0.0
BASHFULBABY;HERBE;BASHFUL BABY;HERBE;1;0;0;9.0;0.0;0.0
BASHFULBOY;GAZON;BASHFUL BOY;GAZON;2;0;0;2.0;0.0;0.0
BASHOLO;GAZON;BASHOLO;GAZON;1;0;0;8.0;0.0;0.0
BASICINSTINCT;HERBE;BASIC INSTINCT;HERBE;2;1;1;0.5;50.0;50.0
BASIL;QUATRE_ANS_ET_PLUS;BASIL;QUATRE_ANS_ET_PLUS;1;1;1;1.0;100.0;100.0
BASILICALIGHT;HERBE;BASILICA LIGHT;HERBE;1;0;0;7.0;0.0;0.0
BASKOTEXANO;SIX_ANS_ET_PLUS;BASKO TEXANO;SIX_ANS_ET_PLUS;2;0;0;2.5;0.0;0.0
BASQUEIRON;QUATRE_ANS;BASQUE IRON;QUATRE_ANS;1;0;0;7.0;0.0;0.0
BASQUIAT;GAZON;BASQUIAT;GAZON;3;1;2;2.3333333333333335;33.3;66.7
BASQUIAT;HERBE;BASQUIAT;HERBE;3;2;3;1.6666666666666667;66.7;100.0
BASSAMALWATHBA;HERBE;BASSAM AL WATHBA;HERBE;1;0;0;12.0;0.0;0.0
BASSENTHWAITE;HERBE;BASSENTHWAITE;HERBE;1;0;0;0.0;0.0;0.0
BASSHUNTER;HERBE;BASS HUNTER;HERBE;1;0;1;3.0;0.0;100.0
BASSMANE;GAZON;BASSMANE;GAZON;1;0;0;11.0;0.0;0.0
BASSMANE;QUATRE_ANS_ET_PLUS;BASSMANE;QUATRE_ANS_ET_PLUS;1;0;0;7.0;0.0;0.0
BASTANTESERIO;GAZON;BASTANTE SERIO;GAZON;1;0;0;9.0;0.0;0.0
BATAHOLABACANA;DEUX_ANS;BATAHOLA BACANA;DEUX_ANS;1;0;1;2.0;0.0;100.0
BATEDBENEVOLENCE;DEUX_ANS;BATED BENEVOLENCE;DEUX_ANS;1;0;0;16.0;0.0;0.0
BATESCA;GAZON;BATESCA;GAZON;3;0;1;7.666666666666667;0.0;33.3
BATESCA;HERBE;BATESCA;HERBE;9;0;1;7.888888888888889;0.0;11.1
BATHYSSEUR;HERBE;BATHYSSEUR;HERBE;1;0;0;0.0;0.0;0.0
BATICHICA;GAZON;BATICHICA;GAZON;1;1;1;1.0;100.0;100.0
BATICHICA;TROIS_ANS;BATICHICA;TROIS_ANS;1;0;0;4.0;0.0;0.0
BATO;GAZON;BATO;GAZON;1;0;0;10.0;0.0;0.0
BATTENBURGBELLE;HERBE;BATTENBURG BELLE;HERBE;1;1;1;1.0;100.0;100.0
BATTENDOWN;GAZON;BATTEN DOWN;GAZON;1;0;1;3.0;0.0;100.0
BATTISGROVE;GAZON;BATTIS GROVE;GAZON;1;1;1;1.0;100.0;100.0
BATTLECALL;HERBE;BATTLE CALL;HERBE;1;1;1;1.0;100.0;100.0
BATTLEOFNORMANDY;HERBE;BATTLE OF NORMANDY;HERBE;1;0;0;9.0;0.0;0.0
BATTLEWINNER;HERBE;BATTLE WINNER;HERBE;2;0;0;5.5;0.0;0.0
BATURHAN;HERBE;BATURHAN;HERBE;5;0;2;7.0;0.0;40.0
BAUHINIARHAPSODY;GAZON;BAUHINIA RHAPSODY;GAZON;3;0;0;9.666666666666666;0.0;0.0
BAUHINIARHAPSODY;HERBE;BAUHINIA RHAPSODY;HERBE;3;0;0;11.0;0.0;0.0
BAVARIANMOON;DEUX_ANS_ET_PLUS;BAVARIAN MOON;DEUX_ANS_ET_PLUS;1;0;0;0.0;0.0;0.0
BAVARIANMOON;GAZON;BAVARIAN MOON;GAZON;1;1;1;1.0;100.0;100.0
BAVARIANPRINCESS;HERBE;BAVARIAN PRINCESS;HERBE;1;0;0;9.0;0.0;0.0
BAVAROIS;GAZON;BAVAROIS;GAZON;2;0;0;7.5;0.0;0.0
BAVAROIS;HERBE;BAVAROIS;HERBE;5;0;1;7.4;0.0;20.0
BAVAROISE;HERBE;BAVAROISE;HERBE;2;0;0;9.5;0.0;0.0
BAWEISLAND;HERBE;BAWE ISLAND;HERBE;10;2;2;7.1;20.0;20.0
BAYAANN;HERBE;BAYAANN;HERBE;2;1;1;6.0;50.0;50.0
BAYAMOON;GAZON;BAYAMOON;GAZON;2;1;1;6.5;50.0;50.0
BAYAMOON;HERBE;BAYAMOON;HERBE;2;0;1;5.0;0.0;50.0
BAYCITYROLLER;HERBE;BAY CITY ROLLER;HERBE;2;1;1;0.5;50.0;50.0
BAYCITYROLLER;QUATRE_ANS_ET_PLUS;BAY CITY ROLLER;QUATRE_ANS_ET_PLUS;1;0;1;2.0;0.0;100.0
BAYD'ARGENT;HERBE;BAY D'ARGENT;HERBE;3;1;1;4.333333333333333;33.3;33.3
BAYDREAMBELIEVER;HERBE;BAY DREAM BELIEVER;HERBE;2;0;0;11.5;0.0;0.0
BAYER;GAZON;BAYER;GAZON;1;1;1;1.0;100.0;100.0
BAYER;QUATRE_ANS;BAYER;QUATRE_ANS;1;0;0;5.0;0.0;0.0
BAYEZID;DEUX_ANS_ET_PLUS;BAYEZID;DEUX_ANS_ET_PLUS;1;0;0;15.0;0.0;0.0
BAYHARA;TROIS_ANS_ET_PLUS;BAYHARA;TROIS_ANS_ET_PLUS;1;0;0;9.0;0.0;0.0
BAYHOUSE;GAZON;BAY HOUSE;GAZON;1;0;1;2.0;0.0;100.0
BAYHOUSE;HERBE;BAY HOUSE;HERBE;2;0;0;3.5;0.0;0.0
BAYLAGAN;HERBE;BAYLAGAN;HERBE;5;0;1;5.6;0.0;20.0
BAYMOON;GAZON;BAY MOON;GAZON;3;0;0;8.333333333333334;0.0;0.0
BAYMOON;HERBE;BAY MOON;HERBE;1;0;0;10.0;0.0;0.0
BAYNALCAKAN;TROIS_ANS;BAY NALCAKAN;TROIS_ANS;2;1;1;3.0;50.0;50.0
BAYOFBENGAL;GAZON;BAY OF BENGAL;GAZON;1;0;0;9.0;0.0;0.0
BAYOFBENGAL;HERBE;BAY OF BENGAL;HERBE;2;0;0;3.0;0.0;0.0
BAYOFBRILLIANCE;HERBE;BAY OF BRILLIANCE;HERBE;2;0;0;10.5;0.0;0.0
BAYOTALENT;DEUX_ANS;BAYO TALENT;DEUX_ANS;1;0;0;11.0;0.0;0.0
BAYOUBRIGID;HERBE;BAYOU BRIGID;HERBE;3;0;1;1.0;0.0;33.3
BAYOUQUEEN;GAZON;BAYOUQUEEN;GAZON;2;0;0;9.0;0.0;0.0
BAYOUQUEEN;HERBE;BAYOUQUEEN;HERBE;3;0;0;8.333333333333334;0.0;0.0
BAYRAMOVA;GAZON;BAYRAMOVA;GAZON;1;0;0;5.0;0.0;0.0
BAYRAMOVA;HERBE;BAYRAMOVA;HERBE;3;0;0;6.333333333333333;0.0;0.0
BAYSIDE;HERBE;BAYSIDE;HERBE;1;0;0;12.0;0.0;0.0
BAYSIDEVIEW;DEUX_ANS;BAYSIDE VIEW;DEUX_ANS;1;1;1;1.0;100.0;100.0
BAYTOWNDREAMER;GAZON;BAYTOWN DREAMER;GAZON;1;0;0;11.0;0.0;0.0
BAYTOWNDREAMER;HERBE;BAYTOWN DREAMER;HERBE;1;0;0;7.0;0.0;0.0
BAYTOWNPARFAIT;QUATRE_ANS_ET_PLUS;BAYTOWN PARFAIT;QUATRE_ANS_ET_PLUS;2;1;2;1.5;50.0;100.0
BAYVIEW;HERBE;BAY VIEW;HERBE;1;0;0;11.0;0.0;0.0
BAYVIEW;TROIS_ANS;BAY VIEW;TROIS_ANS;1;0;0;6.0;0.0;0.0
BBPRINCE;HERBE;B B PRINCE;HERBE;1;0;0;10.0;0.0;0.0
BEACH;DEUX_ANS;BEACH;DEUX_ANS;1;0;0;8.0;0.0;0.0
BEACHBELLE;GAZON;BEACH BELLE;GAZON;1;0;0;0.0;0.0;0.0
BEACHGOLD;HERBE;BEACH GOLD;HERBE;1;0;0;0.0;0.0;0.0
BEACHLIFE;HERBE;BEACH LIFE;HERBE;1;0;0;4.0;0.0;0.0
BEACHSANDALS;HERBE;BEACH SANDALS;HERBE;1;0;1;3.0;0.0;100.0
BEACHSTRIPES;HERBE;BEACH STRIPES;HERBE;1;0;0;7.0;0.0;0.0
BEAGLEBAY;HERBE;BEAGLE BAY;HERBE;1;0;0;0.0;0.0;0.0
BEAMINGLIGHT;GAZON;BEAMING LIGHT;GAZON;1;0;0;6.0;0.0;0.0
BEARNINLOVE;GAZON;BEARN IN LOVE;GAZON;1;0;0;12.0;0.0;0.0
BEARROCK;GAZON;BEAR ROCK;GAZON;1;1;1;1.0;100.0;100.0
BEARROCK;QUATRE_ANS_ET_PLUS;BEAR ROCK;QUATRE_ANS_ET_PLUS;1;0;0;4.0;0.0;0.0
BEARSTEPS;GAZON;BEAR STEPS;GAZON;1;0;0;6.0;0.0;0.0
BEARWITH;HERBE;BEARWITH;HERBE;2;0;1;6.5;0.0;50.0
BEARWITHUS;GAZON;BEARWITHUS;GAZON;1;0;0;8.0;0.0;0.0
BEARYFUNNY;GAZON;BEARY FUNNY;GAZON;1;0;0;0.0;0.0;0.0
BEARYFUNNY;HERBE;BEARY FUNNY;HERBE;1;0;0;0.0;0.0;0.0
BEASTLYSPEED;GAZON;BEASTLY SPEED;GAZON;1;0;0;5.0;0.0;0.0
BEAT;GAZON;BEAT;GAZON;1;0;0;7.0;0.0;0.0
BEATLES;QUATRE_ANS;BEATLES;QUATRE_ANS;1;0;0;7.0;0.0;0.0
BEATTHEODDS;GAZON;BEAT THE ODDS;GAZON;1;0;0;9.0;0.0;0.0
BEAU'SBELLA;GAZON;BEAU'S BELLA;GAZON;1;0;0;12.0;0.0;0.0
BEAUCHEVALIER;TROIS_ANS_ET_PLUS;BEAU CHEVALIER;TROIS_ANS_ET_PLUS;1;0;0;10.0;0.0;0.0
BEAUCUP;HERBE;BEAU CUP;HERBE;1;0;0;4.0;0.0;0.0
BEAUGARS;GAZON;BEAU GARS;GAZON;2;0;0;7.5;0.0;0.0
BEAUGARS;HERBE;BEAU GARS;HERBE;1;0;0;11.0;0.0;0.0
BEAUGRIS;GAZON;BEAUGRIS;GAZON;1;0;0;0.0;0.0;0.0
BEAUHUSH;GAZON;BEAU HUSH;GAZON;1;0;0;0.0;0.0;0.0
BEAUMADIER;GAZON;BEAUMADIER;GAZON;1;0;0;4.0;0.0;0.0
BEAUNE;GAZON;BEAUNE;GAZON;1;1;1;1.0;100.0;100.0
BEAUROMAN;HERBE;BEAU ROMAN;HERBE;4;0;1;6.5;0.0;25.0
BEAUTIFOAL;HERBE;BEAUTIFOAL;HERBE;8;1;3;5.25;12.5;37.5
BEAUTIFULBAROQUE;DEUX_ANS_ET_PLUS;BEAUTIFUL BAROQUE;DEUX_ANS_ET_PLUS;1;0;0;13.0;0.0;0.0
BEAUTIFULCRAZY;GAZON;BEAUTIFUL CRAZY;GAZON;1;1;1;1.0;100.0;100.0
BEAUTIFULDAWN;GAZON;BEAUTIFUL DAWN;GAZON;1;0;0;7.0;0.0;0.0
BEAUTIFULDAWN;QUATRE_ANS_ET_PLUS;BEAUTIFUL DAWN;QUATRE_ANS_ET_PLUS;2;0;0;8.0;0.0;0.0
BEAUTIFULDIAMOND;HERBE;BEAUTIFUL DIAMOND;HERBE;1;0;0;9.0;0.0;0.0
BEAUTIFULDREAMS;QUATRE_ANS;BEAUTIFUL DREAMS;QUATRE_ANS;2;0;0;7.0;0.0;0.0
BEAUTIFULFEVER;QUATRE_ANS_ET_PLUS;BEAUTIFUL FEVER;QUATRE_ANS_ET_PLUS;1;0;0;4.0;0.0;0.0
BEAUTIFULMEMORY;GAZON;BEAUTIFUL MEMORY;GAZON;1;0;0;8.0;0.0;0.0
BEAUTIFULMEMORY;HERBE;BEAUTIFUL MEMORY;HERBE;7;1;1;5.571428571428571;14.3;14.3
BEAUTIFULMESS;HERBE;BEAUTIFUL MESS;HERBE;5;0;0;8.4;0.0;0.0
BEAUTIFULTIME;GAZON;BEAUTIFUL TIME;GAZON;3;1;1;4.666666666666667;33.3;33.3
BEAUTIFULWAR;HERBE;BEAUTIFUL WAR;HERBE;1;0;0;4.0;0.0;0.0
BEAUTIFULWORLD;TROIS_ANS;BEAUTIFUL WORLD;TROIS_ANS;1;0;0;5.0;0.0;0.0
BEAUTIFY;HERBE;BEAUTIFY;HERBE;2;0;0;6.5;0.0;0.0
BEAUTIFY;TROIS_ANS;BEAUTIFY;TROIS_ANS;1;0;0;6.0;0.0;0.0
BEAUTYALLIANCE;HERBE;BEAUTY ALLIANCE;HERBE;5;1;3;5.0;20.0;60.0
BEAUTYALLIANCE;TROIS_ANS_ET_PLUS;BEAUTY ALLIANCE;TROIS_ANS_ET_PLUS;1;0;0;7.0;0.0;0.0
BEAUTYANDKIND;QUATRE_ANS;BEAUTY AND KIND;QUATRE_ANS;1;0;0;6.0;0.0;0.0
BEAUTYANODINE;HERBE;BEAUTY ANODINE;HERBE;3;0;0;2.0;0.0;0.0
BEAUTYAPPROACH;HERBE;BEAUTY APPROACH;HERBE;1;0;0;5.0;0.0;0.0
BEAUTYAWARD;HERBE;BEAUTY AWARD;HERBE;1;0;1;2.0;0.0;100.0
BEAUTYBOLT;GAZON;BEAUTY BOLT;GAZON;1;0;0;5.0;0.0;0.0
BEAUTYBOLT;HERBE;BEAUTY BOLT;HERBE;1;0;1;2.0;0.0;100.0
BEAUTYBOLT;QUATRE_ANS;BEAUTY BOLT;QUATRE_ANS;4;0;2;6.25;0.0;50.0
BEAUTYBOLT;TROIS_ANS_ET_PLUS;BEAUTY BOLT;TROIS_ANS_ET_PLUS;1;0;0;6.0;0.0;0.0
BEAUTYBOX;HERBE;BEAUTY BOX;HERBE;1;0;0;8.0;0.0;0.0
BEAUTYCHECK;TROIS_ANS_ET_PLUS;BEAUTY CHECK;TROIS_ANS_ET_PLUS;1;0;0;9.0;0.0;0.0
BEAUTYCRESCENT;TROIS_ANS_ET_PLUS;BEAUTY CRESCENT;TROIS_ANS_ET_PLUS;2;0;0;11.5;0.0;0.0
BEAUTYDAY;TROIS_ANS;BEAUTY DAY;TROIS_ANS;1;0;0;8.0;0.0;0.0
BEAUTYDETRIOMPHE;CINQ_ANS_ET_PLUS;BEAUTY DE TRIOMPHE;CINQ_ANS_ET_PLUS;1;0;0;6.0;0.0;0.0
BEAUTYDETRIOMPHE;HERBE;BEAUTY DE TRIOMPHE;HERBE;1;0;0;6.0;0.0;0.0
BEAUTYETERNAL;TROIS_ANS_ET_PLUS;BEAUTY ETERNAL;TROIS_ANS_ET_PLUS;3;0;1;5.0;0.0;33.3
BEAUTYFULWIN;TROIS_ANS;BEAUTYFUL WIN;TROIS_ANS;1;0;1;3.0;0.0;100.0
BEAUTYGEMINI;HERBE;BEAUTY GEMINI;HERBE;2;0;0;12.5;0.0;0.0
BEAUTYGENERATION;GAZON;BEAUTY GENERATION;GAZON;1;0;0;7.0;0.0;0.0
BEAUTYGLORY;HERBE;BEAUTY GLORY;HERBE;7;0;1;8.0;0.0;14.3
BEAUTYGLORY;TROIS_ANS_ET_PLUS;BEAUTY GLORY;TROIS_ANS_ET_PLUS;1;0;0;9.0;0.0;0.0
BEAUTYJOY;HERBE;BEAUTY JOY;HERBE;1;0;0;8.0;0.0;0.0
BEAUTYJOY;TROIS_ANS_ET_PLUS;BEAUTY JOY;TROIS_ANS_ET_PLUS;4;0;1;4.5;0.0;25.0
BEAUTYMAGIC;HERBE;BEAUTY MAGIC;HERBE;3;0;0;6.0;0.0;0.0
BEAUTYMISSILE;HERBE;BEAUTY MISSILE;HERBE;2;2;2;1.0;100.0;100.0
BEAUTYORB;GAZON;BEAUTY ORB;GAZON;2;0;1;5.0;0.0;50.0
BEAUTYORB;HERBE;BEAUTY ORB;HERBE;1;0;0;12.0;0.0;0.0
BEAUTYORB;TROIS_ANS;BEAUTY ORB;TROIS_ANS;2;0;0;9.5;0.0;0.0
BEAUTYSEA;QUATRE_ANS_ET_PLUS;BEAUTY SEA;QUATRE_ANS_ET_PLUS;1;0;0;6.0;0.0;0.0
BEAUTYSEA;TROIS_ANS_ET_PLUS;BEAUTY SEA;TROIS_ANS_ET_PLUS;2;0;1;3.0;0.0;50.0
BEAUTYSHOW;HERBE;BEAUTY SHOW;HERBE;5;0;3;3.4;0.0;60.0
BEAUTYTHUNDER;HERBE;BEAUTY THUNDER;HERBE;8;0;4;3.75;0.0;50.0
BEAUTYVIVA;HERBE;BEAUTY VIVA;HERBE;4;1;1;5.5;25.0;25.0
BEAUTYVIVA;TROIS_ANS_ET_PLUS;BEAUTY VIVA;TROIS_ANS_ET_PLUS;2;0;0;8.5;0.0;0.0
BEAUTYWAVES;HERBE;BEAUTY WAVES;HERBE;1;1;1;1.0;100.0;100.0
BEAUTYWAVES;TROIS_ANS_ET_PLUS;BEAUTY WAVES;TROIS_ANS_ET_PLUS;5;0;0;8.0;0.0;0.0
BEAUZON;GAZON;BEAUZON;GAZON;3;2;2;2.6666666666666665;66.7;66.7
BECALOTTI;DEUX_ANS_ET_PLUS;BECALOTTI;DEUX_ANS_ET_PLUS;1;0;0;5.0;0.0;0.0
BECAUSEWECAN;GAZON;BECAUSE WE CAN;GAZON;1;1;1;1.0;100.0;100.0
BECCALI;HERBE;BECCALI;HERBE;3;1;1;3.3333333333333335;33.3;33.3
BECCO;TROIS_ANS;BECCO;TROIS_ANS;1;0;0;10.0;0.0;0.0
BECHO;GAZON;BECHO;GAZON;1;0;0;12.0;0.0;0.0
BECHO;HERBE;BECHO;HERBE;9;0;2;6.888888888888889;0.0;22.2
BECHRIVER;GAZON;BECH RIVER;GAZON;4;0;1;8.25;0.0;25.0
BECHRIVER;HERBE;BECH RIVER;HERBE;5;0;1;5.0;0.0;20.0
BECQUANIENTE;HERBE;BECQUANIENTE;HERBE;5;1;2;4.0;20.0;40.0
BECQUATHUNDER;HERBE;BECQUATHUNDER;HERBE;4;1;2;3.25;25.0;50.0
BEDAIO;GAZON;BEDAIO;GAZON;4;0;2;4.75;0.0;50.0
BEDAIO;HERBE;BEDAIO;HERBE;3;0;0;4.666666666666667;0.0;0.0
BEDDAVITA;GAZON;BEDDA VITA;GAZON;1;1;1;1.0;100.0;100.0
BEDDAVITA;HERBE;BEDDA VITA;HERBE;4;2;2;4.5;50.0;50.0
BEDOUINPRINCE;HERBE;BEDOUIN PRINCE;HERBE;1;0;1;2.0;0.0;100.0
BEELINE;GAZON;BEELINE;GAZON;1;0;0;5.0;0.0;0.0
BEEMYHONEY;GAZON;BEE MY HONEY;GAZON;1;0;0;4.0;0.0;0.0
BEENBUSY;GAZON;BEEN BUSY;GAZON;1;0;0;4.0;0.0;0.0
BEETHOVEN;HERBE;BEETHOVEN;HERBE;2;0;1;4.0;0.0;50.0
BEETLEJUICE;GAZON;BEETLEJUICE;GAZON;5;0;2;4.6;0.0;40.0
BEETLEJUICE;HERBE;BEETLEJUICE;HERBE;1;0;0;11.0;0.0;0.0
BEFORETHEWIND;HERBE;BEFORE THE WIND;HERBE;1;0;0;5.0;0.0;0.0
BEHIKE;HERBE;BEHIKE;HERBE;1;0;0;0.0;0.0;0.0
BEHINDTHESUN;GAZON;BEHIND THE SUN;GAZON;4;1;1;7.0;25.0;25.0
BEHRAYNA;HERBE;BEHRAYNA;HERBE;4;4;4;1.0;100.0;100.0
BEHRUZ;HERBE;BEHRUZ;HERBE;1;0;0;10.0;0.0;0.0
BEHRUZ;QUATRE_ANS_ET_PLUS;BEHRUZ;QUATRE_ANS_ET_PLUS;1;0;0;6.0;0.0;0.0
BEIBHINN;HERBE;BEIBHINN;HERBE;2;0;2;3.0;0.0;100.0
BEIJINGCRISTAL;HERBE;BEIJING CRISTAL;HERBE;1;0;0;8.0;0.0;0.0
BEINGMYSELF;HERBE;BEING MYSELF;HERBE;1;0;0;7.0;0.0;0.0
BEITJALA;QUATRE_ANS_ET_PLUS;BEIT JALA;QUATRE_ANS_ET_PLUS;1;0;0;11.0;0.0;0.0
