Cheval_clean;Terrain_clean;Cheval;Terrain;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
TREASUREKEEPER;GAZON;TREASURE KEEPER;GAZON;6;1;4;4.333333333333333;16.7;66.7
TREASUREKEEPER;HERBE;TREASURE KEEPER;HERBE;1;0;0;7.0;0.0;0.0
TREASUREORB;TROIS_ANS;TREASURE ORB;TROIS_ANS;1;0;0;9.0;0.0;0.0
TREASURER;HERBE;TREASURER;HERBE;1;0;0;12.0;0.0;0.0
TREASURESTORM;GAZON;TREASURE STORM;GAZON;3;1;2;2.6666666666666665;33.3;66.7
TREASURESTORM;HERBE;TREASURE STORM;HERBE;1;0;0;5.0;0.0;0.0
TREASURESTORM;QUATRE_ANS_ET_PLUS;TREASURE STORM;QUATRE_ANS_ET_PLUS;1;0;0;4.0;0.0;0.0
TREATMENICE;GAZON;TREAT ME NICE;GAZON;2;0;0;7.5;0.0;0.0
TREATMENICE;HERBE;TREAT ME NICE;HERBE;4;0;0;5.0;0.0;0.0
TREATWOOD;HERBE;TREATWOOD;HERBE;5;1;1;6.4;20.0;20.0
TREATYOBLIGATION;GAZON;TREATY OBLIGATION;GAZON;2;0;0;0.0;0.0;0.0
TREATYOURSELF;TROIS_ANS_ET_PLUS;TREAT YOURSELF;TROIS_ANS_ET_PLUS;1;0;0;11.0;0.0;0.0
TREBLEBASS;HERBE;TREBLE BASS;HERBE;1;0;0;6.0;0.0;0.0
TREBLETEE;HERBE;TREBLE TEE;HERBE;1;0;0;5.0;0.0;0.0
TREDCITY;HERBE;TREDCITY;HERBE;1;0;0;11.0;0.0;0.0
TREEC'SKAI;GAZON;TREE C'S KAI;GAZON;2;1;1;3.5;50.0;50.0
TREEC'SKAI;HERBE;TREE C'S KAI;HERBE;2;0;0;2.0;0.0;0.0
TREFOR;HERBE;TREFOR;HERBE;2;0;0;0.0;0.0;0.0
TREGETOUR;TROIS_ANS_ET_PLUS;TREGETOUR;TROIS_ANS_ET_PLUS;1;0;1;2.0;0.0;100.0
TREIZEACTIVE;HERBE;TREIZE ACTIVE;HERBE;3;0;0;7.666666666666667;0.0;0.0
TREIZIEMEMOIS;GAZON;TREIZIEME MOIS;GAZON;3;1;1;4.333333333333333;33.3;33.3
TREKHOME;HERBE;TREK HOME;HERBE;1;0;0;4.0;0.0;0.0
TRELAWNY;GAZON;TRELAWNY;GAZON;3;1;1;4.0;33.3;33.3
TREMBLANT;GAZON;TREMBLANT;GAZON;2;0;0;7.5;0.0;0.0
TREMBLANT;HERBE;TREMBLANT;HERBE;1;0;0;0.0;0.0;0.0
TREMENDOMACHO;HERBE;TREMENDO MACHO;HERBE;1;0;0;10.0;0.0;0.0
TREMENDORAYO;GAZON;TREMENDO RAYO;GAZON;3;0;1;4.666666666666667;0.0;33.3
TREMENDORAYO;SIX_ANS_ET_PLUS;TREMENDO RAYO;SIX_ANS_ET_PLUS;1;0;0;9.0;0.0;0.0
TREMONIA;HERBE;TREMONIA;HERBE;3;0;1;7.0;0.0;33.3
TREMONIA;TROIS_ANS_ET_PLUS;TREMONIA;TROIS_ANS_ET_PLUS;1;0;0;0.0;0.0;0.0
TRENBALA;DEUX_ANS;TREN BALA;DEUX_ANS;1;0;0;8.0;0.0;0.0
TRENBALA;GAZON;TREN BALA;GAZON;2;0;0;2.5;0.0;0.0
